company_name_canonical,senior_share_2024,senior_share_2026,staff_share_2024,staff_share_2026,n_total_2024,n_total_2026,senior_delta,staff_delta
General Dynamics Information Technology,0.8571428571428571,0.0821917808219178,0.0,0.0,21.0,73.0,-0.7749510763209393,0.0
SpaceX,0.95,0.26973684210526316,0.0,0.0,40.0,152.0,-0.6802631578947368,0.0
INSPYR Solutions,0.7857142857142857,0.19047619047619047,0.0,0.0,14.0,21.0,-0.5952380952380952,0.0
Garmin,0.875,0.28125,0.0625,0.0,16.0,32.0,-0.59375,-0.0625
Accenture,0.6666666666666666,0.09259259259259259,0.0,0.0,12.0,54.0,-0.5740740740740741,0.0
Parsons Corporation,0.8125,0.28,0.0,0.0,16.0,25.0,-0.5325,0.0
Snowflake,0.8157894736842105,0.3235294117647059,0.0,0.14705882352941177,38.0,34.0,-0.4922600619195046,0.14705882352941177
Draper,0.8235294117647058,0.3684210526315789,0.0,0.0,17.0,19.0,-0.4551083591331269,0.0
LTIMindtree,0.5,0.07692307692307693,0.0,0.0,14.0,13.0,-0.4230769230769231,0.0
Intuit,0.5294117647058824,0.1111111111111111,0.11764705882352941,0.7222222222222222,17.0,90.0,-0.41830065359477125,0.6045751633986928
Google,0.7272727272727273,0.3249669749009247,0.3333333333333333,0.20871862615587847,33.0,757.0,-0.4023057523718026,-0.12461470717745485
U.S. Bank,0.7,0.30303030303030304,0.0,0.0,10.0,33.0,-0.3969696969696969,0.0
Selby Jennings,0.5151515151515151,0.125,0.06060606060606061,0.0,33.0,16.0,-0.39015151515151514,-0.06060606060606061
Visa,0.6470588235294118,0.26865671641791045,0.23529411764705882,0.43283582089552236,17.0,67.0,-0.37840210711150135,0.19754170324846354
Fidelity Investments,0.7241379310344828,0.34782608695652173,0.0,0.0,29.0,46.0,-0.37631184407796103,0.0
Goldman Sachs,0.4857142857142857,0.1276595744680851,0.0,0.0,35.0,47.0,-0.3580547112462006,0.0
Wise Skulls,0.43333333333333335,0.1,0.0,0.0,30.0,10.0,-0.33333333333333337,0.0
Russell Tobin,0.3333333333333333,0.0,0.0,0.0,12.0,17.0,-0.3333333333333333,0.0
"BAE Systems, Inc.",0.5769230769230769,0.2578125,0.0,0.0,52.0,128.0,-0.31911057692307687,0.0
Abbott,0.41818181818181815,0.1,0.05454545454545454,0.0,55.0,30.0,-0.3181818181818181,-0.05454545454545454
Verkada,0.8333333333333334,0.5263157894736842,0.16666666666666666,0.21052631578947367,12.0,38.0,-0.3070175438596492,0.043859649122807015
Leidos,0.5507246376811594,0.24489795918367346,0.0,0.0,69.0,245.0,-0.30582667849748596,0.0
Databricks,0.7857142857142857,0.4827586206896552,0.14285714285714285,0.5862068965517241,14.0,58.0,-0.3029556650246305,0.44334975369458124
AbbVie,0.8,0.5,0.0,0.0,10.0,10.0,-0.30000000000000004,0.0
Empower Professionals,0.3,0.0,0.0,0.0,10.0,10.0,-0.3,0.0
Jobot,0.7,0.40217391304347827,0.014285714285714285,0.010869565217391304,70.0,92.0,-0.2978260869565217,-0.0034161490683229812
CGI,0.5652173913043478,0.27058823529411763,0.0,0.0,23.0,85.0,-0.29462915601023015,0.0
General Dynamics Mission Systems,0.5,0.20634920634920634,0.0,0.0,18.0,63.0,-0.29365079365079366,0.0
Booz Allen Hamilton,0.5,0.21122112211221122,0.0,0.0,10.0,303.0,-0.2887788778877888,0.0
Eliassen Group,0.5555555555555556,0.2702702702702703,0.0,0.0,18.0,37.0,-0.2852852852852853,0.0
Lockheed Martin,0.6395348837209303,0.3588235294117647,0.1511627906976744,0.17058823529411765,86.0,170.0,-0.28071135430916555,0.019425444596443242
Northrop Grumman,0.5048543689320388,0.23300970873786409,0.18122977346278318,0.1262135922330097,309.0,103.0,-0.27184466019417475,-0.055016181229773475
CACI International Inc,0.4423076923076923,0.17073170731707318,0.0,0.07317073170731707,52.0,82.0,-0.2715759849906191,0.07317073170731707
Jobs via eFinancialCareers,0.6363636363636364,0.36666666666666664,0.045454545454545456,0.0,22.0,30.0,-0.2696969696969697,-0.045454545454545456
ManTech,0.41025641025641024,0.14634146341463414,0.0,0.0,39.0,41.0,-0.2639149468417761,0.0
HCA Healthcare,0.7272727272727273,0.4666666666666667,0.09090909090909091,0.3333333333333333,11.0,15.0,-0.2606060606060606,0.2424242424242424
Mastech Digital,0.25,0.0,0.0,0.0,16.0,22.0,-0.25,0.0
Collins Aerospace,0.7183098591549296,0.47058823529411764,0.0,0.0,71.0,51.0,-0.24772162386081198,0.0
Raytheon,0.6164383561643836,0.3739130434782609,0.0,0.0,146.0,115.0,-0.2425253126861227,0.0
BioSpace,0.64,0.4,0.08,0.08571428571428572,25.0,35.0,-0.24,0.005714285714285713
Actalent,0.3333333333333333,0.09663865546218488,0.0,0.0,39.0,238.0,-0.23669467787114845,0.0
Intuitive,0.5882352941176471,0.35294117647058826,0.0,0.058823529411764705,17.0,17.0,-0.23529411764705882,0.058823529411764705
Brooksource,0.4827586206896552,0.25,0.0,0.0,29.0,48.0,-0.2327586206896552,0.0
UST,0.5483870967741935,0.3157894736842105,0.0,0.0,31.0,19.0,-0.232597623089983,0.0
Dexian,0.4166666666666667,0.18421052631578946,0.0,0.0,12.0,38.0,-0.23245614035087722,0.0
Matlen Silver,0.25,0.038461538461538464,0.0,0.0,12.0,26.0,-0.21153846153846154,0.0
ByteDance,0.3181818181818182,0.11016949152542373,0.0,0.0,44.0,118.0,-0.20801232665639446,0.0
NVIDIA,0.9824561403508771,0.776595744680851,0.0,0.005319148936170213,57.0,188.0,-0.20586039567002612,0.005319148936170213
SPECTRAFORCE,0.4,0.2,0.0,0.0,25.0,15.0,-0.2,0.0
Deloitte,0.5,0.3050847457627119,0.0,0.0,22.0,59.0,-0.19491525423728812,0.0
Intellectt Inc,0.35555555555555557,0.16666666666666666,0.0,0.0,90.0,24.0,-0.1888888888888889,0.0
Infosys,0.2857142857142857,0.10638297872340426,0.0,0.0,42.0,47.0,-0.17933130699088146,0.0
Capital One,0.5985915492957746,0.4260089686098655,0.0,0.0,710.0,223.0,-0.17258258068590915,0.0
Compunnel Inc.,0.3541666666666667,0.1891891891891892,0.0,0.0,48.0,37.0,-0.16497747747747749,0.0
Honeywell,0.6136363636363636,0.4489795918367347,0.0,0.0,44.0,49.0,-0.16465677179962895,0.0
Leonardo DRS,0.42105263157894735,0.26666666666666666,0.0,0.0,19.0,15.0,-0.15438596491228068,0.0
Amtex Systems Inc.,0.5384615384615384,0.3888888888888889,0.0,0.0,13.0,18.0,-0.14957264957264954,0.0
TALENT Software Services,0.14285714285714285,0.0,0.0,0.0,14.0,15.0,-0.14285714285714285,0.0
Ford Motor Company,0.2857142857142857,0.14583333333333334,0.0,0.125,14.0,48.0,-0.13988095238095236,0.125
Ascendion,0.23076923076923078,0.09090909090909091,0.0,0.0,13.0,11.0,-0.13986013986013987,0.0
CVS Health,0.5909090909090909,0.45614035087719296,0.0,0.22807017543859648,22.0,57.0,-0.13476874003189798,0.22807017543859648
Centraprise,0.17647058823529413,0.043478260869565216,0.0,0.0,17.0,23.0,-0.1329923273657289,0.0
Rocket Lab,0.8461538461538461,0.7142857142857143,0.0,0.0,13.0,21.0,-0.13186813186813184,0.0
Medtronic,0.6071428571428571,0.47619047619047616,0.0,0.0,28.0,21.0,-0.13095238095238093,0.0
