period2,n,senior_share,staff_share,principal_share,lead_share
2024,22820,0.4170902716914987,0.027212971078001753,0.05236634531113059,0.092988606485539
2026,40881,0.28952325040972576,0.0577774516278956,0.03656955553924806,0.06076172304982755
