period2,sub_archetype_label,n,share
2024,generic (low all),9022,0.7024291497975709
2024,people-manager,1861,0.14489255683587668
2024,strategist,964,0.07505450015571473
2024,tech-lead,997,0.07762379321083775
2026,generic (low all),3690,0.597667638483965
2026,people-manager,908,0.1470683511499838
2026,strategist,534,0.08649173955296405
2026,tech-lead,1042,0.16877227081308713
