cohort,era,n_postings,n_companies,j3_share_labeled,ai_strict_prev,scope_term_count_mean,desc_length_mean,tech_count_mean,breadth_resid_mean
aggregator,2024,1694,54,0.05366207396664249,0.01770956316410862,0.33884297520661155,3530.4893742621016,7.358913813459268,1.2759975758656723
aggregator,2026,2807,119,0.1087360594795539,0.08977556109725686,0.9967937299608123,4069.0078375489848,7.207695048094051,-0.07536468979897486
direct,2024,6370,332,0.09968907889623008,0.008791208791208791,0.6138147566718996,4256.633751962323,4.966562009419152,-1.4144756448826667
direct,2026,12936,322,0.1792632581771991,0.08209647495361781,1.1230674087816945,5552.113945578231,7.376004947433519,0.030819854696713417
