metric,within_domain_delta,between_domain_delta,domain_total
entry_share_j1,0.01068655764857239,0.006656358841065532,0.01734291648963792
entry_share_j2,0.004207165957338954,-0.0004081289937360649,0.0037990369636028893
entry_share_j3,0.04811922568512578,0.009495475997372514,0.05761470168249829
ai_prevalence_strict,0.04936979307924253,0.016310233357050733,0.06568002643629327
desc_length,1383.016485040033,106.24156150672661,1489.2580465467597
cleaned_length,206.20489254371503,35.64584507607441,241.85073761978944
breadth_resid,1.3027053315768227,-0.20681145428197795,1.0958938772948448
credential_stack_depth,0.5482516675421546,0.08098286014514162,0.6292345276872963
scope_term_count,0.4270632496617823,0.07071799001154068,0.49778123967332294
tech_count,1.5863873025423991,-0.23634717602585287,1.3500401265165463
mgmt_rebuilt,0.0020072870411658515,0.003937338366000273,0.005944625407166124
