company_name_canonical,n_2024_arshkon,n_2024_asaniczka,n_2024_pooled,n_2026,is_aggregator,is_entry_specialist,strategy_cluster,panel_type
FIS,6.0,54.0,60.0,16.0,True,False,traditional_hold,arshkon_min3
Robinhood,5.0,4.0,9.0,24.0,False,False,entry_expander_2,arshkon_min3
Eliassen Group,12.0,6.0,18.0,39.0,True,False,senior_tilt,arshkon_min3
"Pyramid Consulting, Inc",7.0,1.0,8.0,25.0,True,False,entry_expander_1,arshkon_min3
New York Technology Partners,3.0,2.0,5.0,74.0,True,False,traditional_hold,arshkon_min3
The University of Texas at Austin,3.0,1.0,4.0,3.0,False,True,traditional_hold,arshkon_min3
Insight Global,25.0,36.0,61.0,141.0,True,False,traditional_hold,arshkon_min3
Optomi,6.0,3.0,9.0,23.0,False,False,traditional_hold,arshkon_min3
Extend Information Systems Inc.,3.0,52.0,55.0,4.0,False,False,senior_tilt,arshkon_min3
Ledgent Technology,9.0,8.0,17.0,37.0,True,False,entry_expander_1,arshkon_min3
Synechron,15.0,14.0,29.0,68.0,True,False,entry_expander_1,arshkon_min3
"IDR, Inc.",4.0,9.0,13.0,30.0,True,False,entry_expander_1,arshkon_min3
Quantum World Technologies Inc.,8.0,6.0,14.0,12.0,True,False,traditional_hold,arshkon_min3
WEX,6.0,2.0,8.0,21.0,False,False,entry_expander_2,arshkon_min3
American Express,6.0,1.0,7.0,18.0,True,False,ai_forward_scope_inflator,arshkon_min3
"LanceSoft, Inc.",4.0,11.0,15.0,13.0,True,False,entry_expander_1,arshkon_min3
GE HealthCare,4.0,6.0,10.0,12.0,False,False,entry_expander_1,arshkon_min3
Galactic Minds INC,3.0,1.0,4.0,8.0,True,False,entry_expander_1,arshkon_min3
"TSR Consulting Services, Inc.",5.0,1.0,6.0,3.0,True,False,senior_tilt,arshkon_min3
Caterpillar Inc.,3.0,0.0,3.0,9.0,False,False,entry_expander_2,arshkon_min3
Virtusa,4.0,0.0,4.0,40.0,False,False,traditional_hold,arshkon_min3
Tesla,4.0,75.0,79.0,22.0,False,False,entry_expander_2,arshkon_min3
Harvey Nash,4.0,1.0,5.0,6.0,False,False,entry_expander_2,arshkon_min3
Goliath Partners,5.0,2.0,7.0,37.0,False,True,entry_expander_2,arshkon_min3
General Dynamics Information Technology,3.0,18.0,21.0,80.0,True,False,traditional_hold,arshkon_min3
Raas Infotek,7.0,2.0,9.0,33.0,True,False,traditional_hold,arshkon_min3
Agility Partners,4.0,2.0,6.0,8.0,False,False,traditional_hold,arshkon_min3
"Miracle Software Systems, Inc",3.0,3.0,6.0,7.0,True,False,ai_forward_scope_inflator,arshkon_min3
Snap Inc.,3.0,4.0,7.0,17.0,True,False,senior_tilt,arshkon_min3
Publicis Sapient,4.0,0.0,4.0,7.0,False,False,entry_expander_2,arshkon_min3
Apetan Consulting LLC,3.0,0.0,3.0,15.0,True,False,entry_expander_1,arshkon_min3
Soni,3.0,0.0,3.0,7.0,False,False,entry_expander_1,arshkon_min3
Leonardo DRS,5.0,14.0,19.0,16.0,False,False,entry_expander_2,arshkon_min3
UST,6.0,25.0,31.0,21.0,True,False,senior_tilt,arshkon_min3
Experis,26.0,18.0,44.0,72.0,True,False,entry_expander_2,arshkon_min3
Motion Recruitment,40.0,84.0,124.0,238.0,True,False,traditional_hold,arshkon_min3
Visa,5.0,12.0,17.0,73.0,False,False,ai_forward_scope_inflator,arshkon_min3
CGI,8.0,15.0,23.0,88.0,True,False,senior_tilt,arshkon_min3
Equifax,4.0,1.0,5.0,30.0,False,False,entry_expander_2,arshkon_min3
Thermo Fisher Scientific,6.0,0.0,6.0,8.0,True,False,traditional_hold,arshkon_min3
Ehub Global Inc,5.0,0.0,5.0,6.0,False,False,traditional_hold,arshkon_min3
Palo Alto Networks,13.0,86.0,99.0,52.0,False,False,entry_expander_1,arshkon_min3
ClearanceJobs,14.0,898.0,912.0,3.0,True,False,traditional_hold,arshkon_min3
Brooksource,5.0,24.0,29.0,49.0,True,False,traditional_hold,arshkon_min3
Piper Companies,16.0,8.0,24.0,110.0,False,False,entry_expander_2,arshkon_min3
Stealth Startup,3.0,2.0,5.0,44.0,False,True,traditional_hold,arshkon_min3
General Dynamics Mission Systems,5.0,13.0,18.0,70.0,False,False,traditional_hold,arshkon_min3
IntePros,5.0,4.0,9.0,12.0,False,False,traditional_hold,arshkon_min3
Revature,3.0,9.0,12.0,3.0,True,True,entry_expander_2,arshkon_min3
Empower Professionals,7.0,3.0,10.0,14.0,True,False,traditional_hold,arshkon_min3
FastTek Global,5.0,4.0,9.0,28.0,True,False,senior_tilt,arshkon_min3
Smart IT Frame LLC,6.0,2.0,8.0,44.0,False,False,senior_tilt,arshkon_min3
PriceSenz,3.0,1.0,4.0,3.0,False,False,ai_forward_scope_inflator,arshkon_min3
DataAnnotation,8.0,0.0,8.0,71.0,True,False,traditional_hold,arshkon_min3
SSi People,5.0,0.0,5.0,11.0,False,False,traditional_hold,arshkon_min3
Venmo,3.0,0.0,3.0,29.0,False,False,entry_expander_2,arshkon_min3
Esri,3.0,0.0,3.0,67.0,False,False,entry_expander_1,arshkon_min3
Cbase Inc,3.0,0.0,3.0,6.0,False,False,entry_expander_2,arshkon_min3
Infosys,5.0,37.0,42.0,50.0,False,False,traditional_hold,arshkon_min3
Goldman Sachs,6.0,29.0,35.0,49.0,False,False,traditional_hold,arshkon_min3
Amazon,31.0,142.0,173.0,376.0,True,True,senior_tilt,arshkon_min3
U.S. Bank,4.0,6.0,10.0,37.0,False,False,entry_expander_2,arshkon_min3
The Judge Group,4.0,35.0,39.0,17.0,False,False,traditional_hold,arshkon_min3
Parsons Corporation,4.0,12.0,16.0,29.0,False,False,traditional_hold,arshkon_min3
