title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
java architect,19.0,0.0,Other,other,none,disappeared_2026
drupal developer,9.0,0.0,General SWE,other,none,disappeared_2026
. .net developer,6.0,0.0,General SWE,other,none,disappeared_2026
. java developer,5.0,0.0,General SWE,other,none,disappeared_2026
java application developer,5.0,0.0,General SWE,other,none,disappeared_2026
"software development engineer, aws marketplace",5.0,0.0,General SWE,other,none,disappeared_2026
adobe developer,4.0,0.0,General SWE,other,none,disappeared_2026
data engineer- aws (python/ airflow/ rds),4.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
python- data analytics - software engineer,4.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
software dev. engineer,4.0,0.0,General SWE,other,none,disappeared_2026
"software engineer, data streaming",4.0,0.0,General SWE,ai_domain,none,disappeared_2026
computer vision/ machine learning engineer,3.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
dot net developer,3.0,0.0,General SWE,other,none,disappeared_2026
engineer – it infrastructure,3.0,0.0,General SWE,other,none,disappeared_2026
"full stack engineer (javascript, typescript, angular, java, aws)",3.0,0.0,Full Stack,other,none,disappeared_2026
geographic information systems engineer,3.0,0.0,Embedded/Systems,other,none,disappeared_2026
hp nonstop software engineer,3.0,0.0,General SWE,other,none,disappeared_2026
hybrid java backend developer,3.0,0.0,Backend/API,other,none,disappeared_2026
infrastructure,3.0,0.0,Other,other,none,disappeared_2026
middleware engineer with devops,3.0,0.0,DevOps,other,none,disappeared_2026
mission software engineer - fury / cca (generalist),3.0,0.0,General SWE,other,none,disappeared_2026
python perl developer,3.0,0.0,General SWE,other,none,disappeared_2026
salesforce developer (clearance eligible),3.0,0.0,General SWE,other,none,disappeared_2026
"software engineer (c#/.net), services",3.0,0.0,General SWE,other,none,disappeared_2026
software engineer (mobile sdk),3.0,0.0,Mobile,other,none,disappeared_2026
software engineer test,3.0,0.0,General SWE,other,none,disappeared_2026
"software engineer, cash commerce",3.0,0.0,General SWE,other,none,disappeared_2026
software engineer-(mainframe/ sql/ etl),3.0,0.0,General SWE,other,none,disappeared_2026
wordpress developer,3.0,0.0,General SWE,other,none,disappeared_2026
", software engineer, full stack",2.0,0.0,Full Stack,other,none,disappeared_2026
. devops architect,2.0,0.0,DevOps,other,none,disappeared_2026
. full stack engineer sitecore - kohler ventures,2.0,0.0,Full Stack,other,none,disappeared_2026
. software engineer - (full stack),2.0,0.0,Full Stack,other,none,disappeared_2026
.net developer on w2,2.0,0.0,General SWE,other,none,disappeared_2026
.net software engineer - credit card operations,2.0,0.0,General SWE,other,none,disappeared_2026
.net web developer,2.0,0.0,Frontend/Web,other,none,disappeared_2026
/ software engineer - simulation scenario full stack,2.0,0.0,Full Stack,other,none,disappeared_2026
application developer - sharepoint,2.0,0.0,General SWE,other,none,disappeared_2026
application engineer (full stack),2.0,0.0,Full Stack,other,none,disappeared_2026
application engineer (sre),2.0,0.0,Reliability/SRE,other,none,disappeared_2026
associate application developer,2.0,0.0,General SWE,other,associate,disappeared_2026
automation software engineer,2.0,0.0,General SWE,other,none,disappeared_2026
aws cloud infrastructure and devops technical sme,2.0,0.0,DevOps,other,none,disappeared_2026
azure synapse data engineer,2.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
"backend engineer, treat team",2.0,0.0,Backend/API,other,none,disappeared_2026
backend platform engineer,2.0,0.0,Platform,other,none,disappeared_2026
cloud engineer - gcp,2.0,0.0,General SWE,other,none,disappeared_2026
credit bureau management technology software engineer,2.0,0.0,General SWE,other,none,disappeared_2026
customer application engineer,2.0,0.0,General SWE,other,none,disappeared_2026
data engineer general,2.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
data engineer with ocr expertise in life sciences,2.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
devops engineer (multicloud),2.0,0.0,DevOps,other,none,disappeared_2026
devops/ cloud engineer,2.0,0.0,DevOps,other,none,disappeared_2026
electrical application engineer,2.0,0.0,General SWE,other,none,disappeared_2026
engineer – ground systems engineer,2.0,0.0,Embedded/Systems,other,none,disappeared_2026
"engineer, qa",2.0,0.0,QA/Testing,other,none,disappeared_2026
federal devops engineer,2.0,0.0,DevOps,other,none,disappeared_2026
full stack .net technical consultant,2.0,0.0,Full Stack,other,none,disappeared_2026
gcp devops engineer,2.0,0.0,DevOps,other,none,disappeared_2026
infrastructure engineer (network operations),2.0,0.0,General SWE,other,none,disappeared_2026
it software developer,2.0,0.0,General SWE,other,none,disappeared_2026
java developer contract,2.0,0.0,General SWE,other,none,disappeared_2026
java developer with kafka,2.0,0.0,General SWE,other,none,disappeared_2026
java developer// only looking (ucs/gc/gcead),2.0,0.0,General SWE,other,none,disappeared_2026
"m365 cloud engineer/ architect- cypress, ca - must be us or gc",2.0,0.0,General SWE,other,none,disappeared_2026
"machine learning engineer, e-commerce",2.0,0.0,AI/ML,ai_tool_or_domain,none,disappeared_2026
macos platform engineer,2.0,0.0,Platform,other,none,disappeared_2026
magento fullstack developer php + react (worldwide remote),2.0,0.0,Full Stack,other,none,disappeared_2026
mbse systems engineer,2.0,0.0,Embedded/Systems,other,none,disappeared_2026
mdm application engineer,2.0,0.0,General SWE,other,none,disappeared_2026
mid level .net developer (clt),2.0,0.0,General SWE,other,none,disappeared_2026
"milcomm systems engineer,",2.0,0.0,Embedded/Systems,other,none,disappeared_2026
oracle application developer,2.0,0.0,General SWE,other,none,disappeared_2026
oracle it programmer/software engineer,2.0,0.0,General SWE,other,none,disappeared_2026
ot systems engineer,2.0,0.0,Embedded/Systems,other,none,disappeared_2026
platform site reliability engineer,2.0,0.0,Reliability/SRE,other,none,disappeared_2026
project developer,2.0,0.0,General SWE,other,none,disappeared_2026
python developer with aws,2.0,0.0,General SWE,other,none,disappeared_2026
redhat admin/system engineer,2.0,0.0,Embedded/Systems,other,none,disappeared_2026
salesforce developer (clearance eligible) solution specialist,2.0,0.0,General SWE,other,none,disappeared_2026
servicenow developer (full time w2) 100% remote,2.0,0.0,General SWE,other,none,disappeared_2026
site reliability engineering manager,2.0,0.0,Reliability/SRE,other,manager,disappeared_2026
"software and systems engineer,",2.0,0.0,Embedded/Systems,other,none,disappeared_2026
software engineer ( openings),2.0,0.0,General SWE,other,none,disappeared_2026
"software engineer (mobile), bitkey",2.0,0.0,Mobile,other,none,disappeared_2026
software engineer - actt datalinks (onsite),2.0,0.0,General SWE,other,none,disappeared_2026
software engineer - capacity engineering and analysis,2.0,0.0,General SWE,other,none,disappeared_2026
software engineer - java / microservices / cloud,2.0,0.0,General SWE,other,none,disappeared_2026
"software engineer, back end (golang)",2.0,0.0,Backend/API,other,none,disappeared_2026
"software engineer, backend (software delivery)",2.0,0.0,Backend/API,other,none,disappeared_2026
"software engineer, test #3748",2.0,0.0,General SWE,other,none,disappeared_2026
support data engineer,2.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
systems engineer/ professional services engineer,2.0,0.0,Embedded/Systems,other,none,disappeared_2026
systems engr,2.0,0.0,Other,other,none,disappeared_2026
user interface engineer,2.0,0.0,General SWE,other,none,disappeared_2026
wordpress web developer,2.0,0.0,Frontend/Web,other,none,disappeared_2026
"() bioinformatics data engineer, translational and quantitative sciences data engineering",1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
(mbse) model based systems engineer,1.0,0.0,Embedded/Systems,other,none,disappeared_2026
(only w2) .net back end or full stack developer,1.0,0.0,Backend/API,other,none,disappeared_2026
(rate: $50/hr)(onsite) php full-stack developer - tallahassee fl,1.0,0.0,General SWE,other,none,disappeared_2026
"(w2 only, c2h) aws data engineer, python",1.0,0.0,Data/Analytics,ai_domain,none,disappeared_2026
"*on-site* infrastructure engineer (green bay, wi)",1.0,0.0,General SWE,other,none,disappeared_2026
", platform engineer (ibm websphere mq)",1.0,0.0,Platform,other,none,disappeared_2026
", systems engineer - military displays division",1.0,0.0,Embedded/Systems,other,none,disappeared_2026
. .net developer (boca raton),1.0,0.0,General SWE,other,none,disappeared_2026
