source,period,n,ai_hybrid_postings,ai_domain_postings,ai_tool_or_domain_postings,seniority_marked_postings,seniority_marked_titles,ai_hybrid_share,ai_domain_share,seniority_marker_share
kaggle_arshkon,2024-04,4691,583,418,165,67,46,0.1242805371988915,0.089106800255809,0.014282668940524408
kaggle_asaniczka,2024-01,18129,1578,1184,394,336,154,0.08704285950686745,0.06530972475039991,0.018533840807545922
scraped,2026-03,19796,4482,1957,2525,269,202,0.2264093756314407,0.09885835522327743,0.013588603758335017
scraped,2026-04,17356,3964,1693,2271,212,170,0.2283936390873473,0.09754551740032265,0.012214796035952985
