title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
software engineer,419.0,3635.0,General SWE,other,none,shared
data engineer,155.0,1199.0,Data/Analytics,ai_domain,none,shared
devops engineer,88.0,587.0,DevOps,other,none,shared
java developer,77.0,159.0,General SWE,other,none,shared
full stack engineer,63.0,361.0,Full Stack,other,none,shared
dotnet developer,56.0,10.0,General SWE,other,none,shared
systems engineer,54.0,204.0,Embedded/Systems,other,none,shared
site reliability engineer,51.0,282.0,Reliability/SRE,other,none,shared
salesforce developer,50.0,45.0,General SWE,other,none,shared
machine learning engineer,48.0,397.0,AI/ML,ai_tool_or_domain,none,shared
system engineer,48.0,145.0,Embedded/Systems,other,none,shared
automation engineer,44.0,59.0,General SWE,other,none,shared
developer,43.0,107.0,General SWE,other,none,shared
python developer,43.0,28.0,General SWE,other,none,shared
embedded software engineer,41.0,291.0,Embedded/Systems,other,none,shared
software developer,39.0,248.0,General SWE,other,none,shared
cloud engineer,35.0,234.0,General SWE,other,none,shared
software development engineer,35.0,215.0,General SWE,other,none,shared
test engineer,34.0,279.0,QA/Testing,other,none,shared
frontend developer,30.0,73.0,Frontend/Web,other,none,shared
java software engineer,27.0,131.0,General SWE,other,none,shared
product engineer,26.0,55.0,General SWE,other,none,shared
application developer,26.0,6.0,General SWE,other,none,shared
full stack developer,24.0,233.0,Full Stack,other,none,shared
application engineer,24.0,124.0,General SWE,other,none,shared
infrastructure engineer,24.0,54.0,General SWE,other,none,shared
quality assurance engineer,23.0,138.0,QA/Testing,other,none,shared
servicenow developer,22.0,78.0,General SWE,other,none,shared
android developer,21.0,128.0,Mobile,other,none,shared
ios developer,19.0,68.0,Mobile,other,none,shared
software engineer in test,19.0,65.0,General SWE,other,none,shared
.net developer,19.0,17.0,General SWE,other,none,shared
web developer,17.0,72.0,Frontend/Web,other,none,shared
back end developer,17.0,30.0,Backend/API,other,none,shared
mainframe developer,17.0,2.0,General SWE,other,none,shared
reliability engineer,16.0,87.0,Reliability/SRE,other,none,shared
react developer,15.0,35.0,General SWE,other,none,shared
firmware engineer,14.0,32.0,Embedded/Systems,other,none,shared
azure cloud engineer,14.0,30.0,General SWE,other,none,shared
azure devops engineer,14.0,24.0,DevOps,other,none,shared
database developer,14.0,2.0,General SWE,other,none,shared
devsecops engineer,12.0,92.0,DevOps,other,none,shared
backend engineer,11.0,122.0,Backend/API,other,none,shared
angular developer,11.0,44.0,General SWE,other,none,shared
quality assurance automation engineer,11.0,30.0,QA/Testing,other,none,shared
software engineering manager,11.0,18.0,Other,other,manager,shared
java full stack developer,10.0,96.0,Full Stack,other,none,shared
qa engineer,10.0,84.0,QA/Testing,other,none,shared
react native developer,10.0,22.0,General SWE,other,none,shared
