source,n,ai_hybrid_postings,ai_domain_postings,ai_tool_or_domain_postings,seniority_marked_postings,seniority_marked_titles,ai_hybrid_share,ai_domain_share,seniority_marker_share
kaggle_arshkon,4691.0,583.0,418.0,165.0,67.0,46,0.1242805371988915,0.089106800255809,0.014282668940524408
kaggle_asaniczka,18129.0,1578.0,1184.0,394.0,336.0,154,0.08704285950686745,0.06530972475039991,0.018533840807545922
scraped,37152.0,8446.0,3650.0,4796.0,481.0,346,0.22733634797588287,0.09824504737295435,0.012946813092161929
