occ_group,period,seniority_final,n,share_pct,junior_flag
adjacent,2024-01,associate,526,8.17,False
adjacent,2024-01,director,14,0.22,False
adjacent,2024-01,entry,18,0.28,True
adjacent,2024-01,mid-senior,5880,91.33,False
adjacent,2024-04,associate,78,5.65,False
adjacent,2024-04,director,24,1.74,False
adjacent,2024-04,entry,224,16.23,True
adjacent,2024-04,mid-senior,886,64.2,False
adjacent,2024-04,unknown,168,12.17,False
adjacent,2026-03,associate,23,3.95,False
adjacent,2026-03,director,6,1.03,False
adjacent,2026-03,entry,115,19.73,True
adjacent,2026-03,mid-senior,409,70.15,False
adjacent,2026-03,unknown,30,5.15,False
control,2024-01,associate,5548,4.95,False
control,2024-01,director,632,0.56,False
control,2024-01,entry,405,0.36,True
control,2024-01,mid-senior,105495,94.12,False
control,2024-04,associate,401,4.75,False
control,2024-04,director,210,2.49,False
control,2024-04,entry,1603,18.98,True
control,2024-04,mid-senior,4839,57.3,False
control,2024-04,unknown,1392,16.48,False
control,2026-03,associate,185,4.56,False
control,2026-03,director,64,1.58,False
control,2026-03,entry,1672,41.24,True
control,2026-03,mid-senior,1965,48.47,False
control,2026-03,unknown,168,4.14,False
swe,2024-01,associate,1292,5.86,False
swe,2024-01,director,86,0.39,False
swe,2024-01,entry,121,0.55,True
swe,2024-01,mid-senior,20544,93.2,False
swe,2024-04,associate,210,4.53,False
swe,2024-04,director,20,0.43,False
swe,2024-04,entry,773,16.66,True
swe,2024-04,mid-senior,2783,59.99,False
swe,2024-04,unknown,853,18.39,False
swe,2026-03,associate,114,2.64,False
swe,2026-03,director,26,0.6,False
swe,2026-03,entry,561,12.99,True
swe,2026-03,mid-senior,3353,77.65,False
swe,2026-03,unknown,264,6.11,False
