metric,n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,panel,size_class,n_cos
breadth_resid_delta,84,-0.09239233158982345,0.40321594981101966,-0.3008322006980552,0.12447231974122111,-0.053924893967184535,0.6261314400046599,arshkon_min3_large,large,84
ai_strict_delta,84,-0.16221202875753468,0.14042665837456397,-0.3639534224580726,0.05406733123493269,-0.036628026422287824,0.7408089080158434,arshkon_min3_large,large,84
mentor_on_S1_delta,80,0.036538822217333636,0.7476215792589768,-0.18466452966817062,0.2542186708404853,0.1328735791415342,0.24000621278321954,arshkon_min3_large,large,84
desc_len_median_delta,84,0.04984289240564026,0.6525281747995548,-0.1663335937853762,0.2614479906483411,0.05429951302027989,0.6237316612693864,arshkon_min3_large,large,84
yoe_min_years_llm_delta,83,-0.10957432967537677,0.32408235984145417,-0.3177574492808909,0.10868757535419377,-0.12941154535576543,0.2436039845999754,arshkon_min3_large,large,84
yoe_extracted_delta,83,-0.08625557549639448,0.4381300669650709,-0.29643364202058853,0.13189136451704225,-0.1376322335771479,0.21468413784744433,arshkon_min3_large,large,84
tech_count_delta,84,-0.03317369174016605,0.7645062030223905,-0.2458242905951951,0.18252349060332815,-0.04521753219253588,0.6829617941750337,arshkon_min3_large,large,84
scope_v1_delta,84,-0.10146951734177408,0.3583979087353342,-0.3091431212337987,0.11544089620835692,-0.1486566529490672,0.17715789936154125,arshkon_min3_large,large,84
credential_stack_depth_delta,84,-0.1607121143217548,0.14418246142353483,-0.3626166101177758,0.05560276436734324,-0.16013445793935233,0.14564890665573005,arshkon_min3_large,large,84
mgmt_rebuilt_delta,84,0.182166582196278,0.09722145224164504,-0.033542464584700185,0.3816593678408156,0.23170490066340735,0.03394345253331704,arshkon_min3_large,large,84
breadth_resid_delta,61,0.1620243974850341,0.21220182169036586,-0.09362066428155641,0.39762571245062933,0.16384165902890738,0.20705048327878822,arshkon_min3_mid,mid,61
ai_strict_delta,61,-0.014878282672205227,0.9093920848858948,-0.26570791607229977,0.2378379993193923,0.05166521006806498,0.6925222139855687,arshkon_min3_mid,mid,61
mentor_on_S1_delta,60,-0.18909542026395532,0.14789531137420045,-0.42272658950223746,0.06810387808726763,0.1338283429215345,0.3080045620711249,arshkon_min3_mid,mid,61
desc_len_median_delta,61,0.0709693290641561,0.5867806007988629,-0.18414688708253615,0.31712684955080356,0.11984028384748358,0.35760396023933183,arshkon_min3_mid,mid,61
yoe_min_years_llm_delta,61,0.16841967125318263,0.19446690695620372,-0.08709959198760918,0.40314646572005886,0.20957050587348885,0.10501914186382712,arshkon_min3_mid,mid,61
yoe_extracted_delta,59,-0.03444837154684181,0.7956210885244572,-0.2879945226182252,0.22361104737587462,-0.06692211590432504,0.614538783795556,arshkon_min3_mid,mid,61
tech_count_delta,61,0.24747177983132923,0.0544981151440752,-0.004642720953402151,0.47000633085301297,0.21048734762267635,0.10347239397709772,arshkon_min3_mid,mid,61
scope_v1_delta,61,0.07283751595785454,0.5769453535938073,-0.1823320448687947,0.31881487967535344,0.007509850091060313,0.9541937697052257,arshkon_min3_mid,mid,61
credential_stack_depth_delta,61,0.03672850117736312,0.7786957574119859,-0.21710470334176335,0.28590924867631234,0.005817489507159397,0.9645086989951674,arshkon_min3_mid,mid,61
mgmt_rebuilt_delta,61,-0.08691025348246177,0.5054047145232073,-0.3314805750680421,0.16860503641149494,0.08480855578265326,0.5157922220541675,arshkon_min3_mid,mid,61
breadth_resid_delta,98,-0.06389971409468612,0.5319068009605138,-0.25903960349615185,0.13625218154395585,-0.027843767414683158,0.7855025439053875,arshkon_min3_small,small,98
ai_strict_delta,98,-0.03435562692414249,0.7369924320996332,-0.23120383145789963,0.16519482402619895,0.20390926775341553,0.04401888986176269,arshkon_min3_small,small,98
mentor_on_S1_delta,80,-0.09219959640894511,0.4159807477245924,-0.30572693086148967,0.13015796812338062,0.03291052843923126,0.7719643362571698,arshkon_min3_small,small,98
desc_len_median_delta,98,0.3131666061315455,0.0016906864647660037,0.122344775473346,0.4816605980656279,0.1614058427618452,0.11233955012513447,arshkon_min3_small,small,98
yoe_min_years_llm_delta,84,-0.07117437737673692,0.5199864467850622,-0.2812811088108476,0.14544405867313007,0.010401037754396545,0.92518760981747,arshkon_min3_small,small,98
yoe_extracted_delta,86,-0.06611782790024384,0.5452842192405568,-0.274156273937923,0.14783224932314215,-0.07413156816779405,0.4975546337946586,arshkon_min3_small,small,98
tech_count_delta,98,-0.02393488088461907,0.8150341873641114,-0.22130814957722045,0.17532208890378995,-0.030458505078453223,0.7659136916464363,arshkon_min3_small,small,98
scope_v1_delta,98,0.04918758795593807,0.6305335864586036,-0.1507076398423529,0.2452185705357287,0.04079810577939625,0.6899928590854443,arshkon_min3_small,small,98
credential_stack_depth_delta,98,-0.001765218228462337,0.9862367206070136,-0.2001194431229715,0.19672800733710186,0.0275986770666133,0.7873457716456966,arshkon_min3_small,small,98
mgmt_rebuilt_delta,98,-0.08597940245902798,0.39990427970779036,-0.27963306840547075,0.11439656843597368,0.04885925373893261,0.6328199537146071,arshkon_min3_small,small,98
