company_name_canonical,n_2024_arshkon,n_2024_asaniczka,n_2026_scraped,is_aggregator,breadth_resid_mean_2024,breadth_resid_mean_2026,ai_strict_mean_2024,ai_strict_mean_2026,mgmt_mean_2024,mgmt_mean_2026,mentor_on_s1_rate_2024,mentor_on_s1_rate_2026,desc_len_median_2024,desc_len_median_2026,yoe_llm_median_2024,yoe_llm_median_2026,yoe_rule_median_2024,yoe_rule_median_2026,tech_count_mean_2024,tech_count_mean_2026,scope_mean_2024,scope_mean_2026,credstack_mean_2024,credstack_mean_2026,breadth_resid_mean_delta,ai_strict_mean_delta,mgmt_mean_delta,mentor_on_s1_rate_delta,desc_len_median_delta,yoe_llm_median_delta,yoe_rule_median_delta,tech_count_mean_delta,scope_mean_delta,credstack_mean_delta,vol_2024,vol_2026,vol_log_ratio,cmax,cavg,size_class,archetype_name,is_tech_giant
FIS,6.0,54.0,16.0,True,-1.1103332080692956,3.701037646310718,0.0,0.125,0.0,0.125,0.0,0.16666666666666666,5254.0,5925.5,5.0,7.0,5.0,5.0,5.85,9.375,0.65,0.8125,4.3,4.4375,4.811370854380014,0.125,0.125,0.16666666666666666,671.5,2.0,0.0,3.5250000000000004,0.16249999999999998,0.13750000000000018,0.375,0.5333333333333333,0.3029495445825694,45882.0,45882.0,large,software/requirements/degree,False
Eliassen Group,12.0,6.0,39.0,True,1.0565788040204076,2.0501572689519048,0.0,0.10256410256410256,0.0,0.10256410256410256,0.0,0.15384615384615385,2556.5,3975.0,5.0,6.0,5.0,5.0,7.666666666666667,10.461538461538462,0.3333333333333333,0.5384615384615384,3.7222222222222223,4.102564102564102,0.9935784649314972,0.10256410256410256,0.10256410256410256,0.15384615384615385,1418.5,1.0,0.0,2.7948717948717947,0.20512820512820512,0.3803418803418799,0.75,1.3,0.5219633681764466,1218.0,1218.0,mid,backend/systems/services,False
The University of Texas at Austin,3.0,1.0,3.0,False,-1.68427211893178,5.711551445337576,0.0,0.0,0.0,0.0,0.0,0.0,9839.0,10127.0,3.0,2.0,7.5,2.0,4.75,11.333333333333334,0.5,0.6666666666666666,4.75,5.333333333333333,7.395823564269356,0.0,0.0,0.0,288.0,-1.0,-5.5,6.583333333333334,0.16666666666666663,0.583333333333333,0.1875,0.1,-0.6286086594223742,24744.0,24744.0,large,software/requirements/degree,False
New York Technology Partners,3.0,2.0,74.0,True,-1.2573794748648843,0.466793598345323,0.0,0.06756756756756757,0.0,0.013513513513513514,0.0,0.0,1272.0,1921.5,8.0,5.0,,6.0,4.2,7.013513513513513,0.6,0.5945945945945946,2.8,3.3378378378378377,1.7241730732102074,0.06756756756756757,0.013513513513513514,0.0,649.5,-3.0,,2.813513513513513,-0.00540540540540535,0.5378378378378379,0.1875,2.466666666666667,2.429427497467772,152.0,152.0,small,pipelines/sql/etl,False
"Pyramid Consulting, Inc",7.0,1.0,25.0,True,-0.36106704568825343,1.4868541812653444,0.0,0.12,0.0,0.16,0.0,0.0,2570.0,3670.0,7.0,5.0,7.0,5.0,5.5,8.88,0.0,0.52,3.125,3.88,1.8479212269535978,0.12,0.16,0.0,1100.0,-2.0,-2.0,3.380000000000001,0.52,0.7549999999999999,0.4375,0.8333333333333334,0.5951667721997417,2756.0,2756.0,mid,java/boot/microservices,False
Robinhood,5.0,4.0,24.0,False,-2.6880157680998704,-1.5652297013583993,0.2222222222222222,0.125,0.4444444444444444,0.0,0.0,0.0,5169.0,5510.0,8.0,4.0,8.0,3.5,3.6666666666666665,4.916666666666667,0.6666666666666666,0.75,4.333333333333333,3.7916666666666665,1.122786066741471,-0.09722222222222221,-0.4444444444444444,0.0,341.0,-4.0,-4.5,1.2500000000000004,0.08333333333333337,-0.5416666666666665,0.3125,0.8,0.865316365889882,3234.0,3234.0,mid,backend/systems/services,False
ClearanceJobs,14.0,898.0,3.0,True,-2.79748941903763,2.574514790859214,0.0,0.0,0.029605263157894735,0.0,0.02981366459627329,,5325.0,2433.0,7.0,,7.0,7.5,4.633771929824562,10.666666666666666,0.34100877192982454,0.0,4.50219298245614,3.3333333333333335,5.3720042098968435,0.0,-0.029605263157894735,,-2892.0,,0.5,6.032894736842104,-0.34100877192982454,-1.168859649122807,0.875,0.1,-2.049994340353535,505.0,505.0,small,systems/clearance/requirements,False
Palo Alto Networks,13.0,86.0,52.0,False,-2.920377417046572,4.476836121421983,0.04040404040404041,0.25,0.030303030303030304,0.057692307692307696,0.04081632653061224,0.05,5592.0,6222.0,4.0,8.0,4.0,7.0,2.9292929292929295,10.423076923076923,0.6262626262626263,0.8076923076923077,3.797979797979798,5.019230769230769,7.397213538468556,0.20959595959595959,0.02738927738927739,0.009183673469387761,630.0,4.0,3.0,7.493783993783994,0.1814296814296814,1.2212509712509712,0.8125,1.7333333333333334,0.7295148247308201,15751.0,15751.0,large,customer/customers/application,False
Piper Companies,16.0,8.0,110.0,False,-0.3359564677457912,-1.0819660019290323,0.0,0.07272727272727272,0.0,0.01818181818181818,0.0,0.02,1838.0,2170.5,6.0,5.0,5.0,5.0,5.166666666666667,5.909090909090909,0.3333333333333333,0.36363636363636365,3.9166666666666665,3.3636363636363638,-0.7460095341832411,0.07272727272727272,0.01818181818181818,0.02,332.5,-1.0,0.0,0.7424242424242422,0.03030303030303033,-0.5530303030303028,1.0,3.6666666666666665,1.2730464806288984,186.0,186.0,small,kubernetes/terraform/cicd,False
General Dynamics Mission Systems,5.0,13.0,70.0,False,-3.8101803251056356,-2.206401698710698,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,3758.0,4337.0,3.0,5.0,6.0,5.0,2.2777777777777777,4.271428571428571,0.2222222222222222,0.2857142857142857,4.5,4.414285714285715,1.6037786263949378,0.02857142857142857,0.0,0.0,579.0,2.0,-1.0,1.9936507936507937,0.06349206349206349,-0.08571428571428541,0.3125,2.3333333333333335,1.9222559581574237,8768.0,8768.0,mid,systems/clearance/requirements,False
DataAnnotation,8.0,0.0,71.0,True,-2.294831128321924,0.8293028547189691,0.0,0.0,0.0,0.0,,,1468.5,2936.0,,,,,5.0,9.225352112676056,0.0,0.0,2.125,2.915492957746479,3.124133983040893,0.0,0.0,,1467.5,,,4.225352112676056,0.0,0.790492957746479,0.5,2.3666666666666667,1.5010226267813171,555.0,555.0,small,models/systems/llm,False
Smart IT Frame LLC,6.0,2.0,44.0,False,1.4145666468277547,1.7874435649901323,0.125,0.045454545454545456,0.0,0.0,0.0,0.0,977.5,1686.5,8.0,8.0,8.0,8.0,6.125,7.613636363636363,0.25,0.4090909090909091,3.375,3.6818181818181817,0.37287691816237767,-0.07954545454545454,0.0,0.0,709.0,0.0,0.0,1.4886363636363633,0.15909090909090912,0.30681818181818166,0.375,1.4666666666666666,1.2950783528482288,199.0,199.0,small,java/boot/microservices,False
Stealth Startup,3.0,2.0,44.0,False,-2.088151984008546,-1.1814167636601642,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,1814.0,2677.5,5.0,3.0,5.0,4.0,1.8,5.25,0.4,0.6136363636363636,3.2,3.6136363636363638,0.9067352203483818,0.13636363636363635,0.0,0.0,863.5,-2.0,-1.0,3.45,0.21363636363636362,0.4136363636363636,0.1875,1.4666666666666666,1.9141175612544523,19543.0,19543.0,large,features/backend/rails,False
Empower Professionals,7.0,3.0,14.0,True,-1.190914290102706,1.2825198989138222,0.0,0.0,0.0,0.0,0.0,0.0,1408.0,2211.0,5.0,6.0,3.0,6.0,5.0,8.571428571428571,0.1,0.35714285714285715,2.4,3.2142857142857144,2.4734341890165283,0.0,0.0,0.0,803.0,1.0,3.0,3.571428571428571,0.2571428571428571,0.8142857142857145,0.4375,0.4666666666666667,0.0306369694618898,80.0,80.0,small,kubernetes/terraform/cicd,False
PriceSenz,3.0,1.0,3.0,False,-2.028359245911682,-2.0846084169238837,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1843.0,2782.0,5.0,4.0,5.0,6.0,4.75,7.666666666666667,0.0,0.6666666666666666,3.25,3.3333333333333335,-0.056249171012201504,0.3333333333333333,0.0,0.0,939.0,-1.0,1.0,2.916666666666667,0.6666666666666666,0.08333333333333348,0.1875,0.1,-0.6286086594223742,64.0,64.0,small,linux/routing/systems,False
Cbase Inc,3.0,0.0,6.0,False,3.842005118549121,1.823746037532824,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,2889.0,1119.5,5.0,6.0,5.0,10.0,11.666666666666666,7.5,0.6666666666666666,0.3333333333333333,3.6666666666666665,3.3333333333333335,-2.0182590810162973,0.16666666666666666,0.0,0.0,-1769.5,1.0,5.0,-4.166666666666666,-0.3333333333333333,-0.33333333333333304,0.1875,0.2,-0.009569451016150672,17.0,17.0,small,java/boot/microservices,False
FastTek Global,5.0,4.0,28.0,True,3.1914771422524937,4.898997753389723,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,3857.0,6147.5,5.5,7.0,5.0,8.0,9.444444444444445,12.178571428571429,0.2222222222222222,0.4642857142857143,4.333333333333333,4.571428571428571,1.707520611137229,0.21428571428571427,0.07142857142857142,0.0,2290.5,1.5,3.0,2.734126984126984,0.2420634920634921,0.23809523809523814,0.3125,0.9333333333333333,1.0165473356138055,84.0,84.0,small,systems/agent/workflows,False
Brooksource,5.0,24.0,49.0,True,-0.15249781048152436,1.8057606365863819,0.0,0.12244897959183673,0.06896551724137931,0.08163265306122448,0.045454545454545456,0.0625,3073.0,3761.0,5.0,5.0,5.0,5.0,5.758620689655173,8.979591836734693,0.41379310344827586,0.6326530612244898,4.379310344827586,4.122448979591836,1.9582584470679063,0.12244897959183673,0.012667135819845174,0.017045454545454544,688.0,0.0,0.0,3.2209711470795206,0.21885995777621398,-0.25686136523574987,0.3125,1.6333333333333333,1.5686159179138452,2135.0,2135.0,mid,kubernetes/terraform/cicd,False
Venmo,3.0,0.0,29.0,False,3.504051980074658,0.9406699941464379,0.0,0.0,0.0,0.06896551724137931,0.0,0.09090909090909091,6382.0,9205.0,8.0,5.0,8.0,5.0,6.333333333333333,7.0344827586206895,1.0,0.7931034482758621,5.666666666666667,4.793103448275862,-2.56338198592822,0.0,0.06896551724137931,0.09090909090909091,2823.0,-3.0,-3.0,0.7011494252873565,-0.2068965517241379,-0.8735632183908049,0.1875,0.9666666666666667,1.503018635428032,615.0,615.0,small,ios/swiftui/features,False
SSi People,5.0,0.0,11.0,False,-2.8274956721217306,-2.3662476715616236,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,969.0,2407.0,5.5,5.0,4.0,5.0,2.6,5.0,0.2,0.7272727272727273,3.0,4.090909090909091,0.46124800056010695,0.09090909090909091,0.0,0.0,1438.0,-0.5,1.0,2.4,0.5272727272727273,1.0909090909090908,0.3125,0.36666666666666664,0.10899028370840488,1636.0,1636.0,mid,failure/procedures/ability,False
Esri,3.0,0.0,67.0,False,-5.2221450258529325,-0.5418667558129754,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,4436.0,5652.0,2.0,2.0,2.0,2.0,2.3333333333333335,7.507462686567164,0.0,0.6268656716417911,3.0,4.582089552238806,4.680278270039957,0.04477611940298507,0.0,0.0,1216.0,0.0,0.0,5.17412935323383,0.6268656716417911,1.5820895522388057,0.1875,2.2333333333333334,2.330755969960742,6535.0,6535.0,mid,kubernetes/terraform/cicd,False
IntePros,5.0,4.0,12.0,False,-0.904715974864537,2.440649329111821,0.0,0.08333333333333333,0.0,0.25,0.0,,3394.0,2381.5,5.0,,5.0,4.5,5.222222222222222,9.333333333333334,0.3333333333333333,0.5,4.111111111111111,3.1666666666666665,3.345365303976358,0.08333333333333333,0.25,,-1012.5,,-0.5,4.111111111111112,0.16666666666666669,-0.9444444444444442,0.3125,0.4,0.1923718926474561,145.0,145.0,small,angular/java/backend,False
Revature,3.0,9.0,3.0,True,2.623887997138028,-3.1778940139359384,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,,1954.0,3161.0,4.0,0.0,3.5,,8.0,0.6666666666666666,0.9166666666666666,0.0,4.333333333333333,3.6666666666666665,-5.801782011073966,0.0,-0.08333333333333333,,1207.0,-4.0,,-7.333333333333333,-0.9166666666666666,-0.6666666666666665,0.1875,0.1,-0.6286086594223742,1542.0,1542.0,mid,java/boot/microservices,False
Tesla,4.0,75.0,22.0,False,-1.973650735982934,-1.7359769405689578,0.0,0.13636363636363635,0.0,0.045454545454545456,0.0,0.0,3962.0,3952.5,4.0,2.0,4.0,3.0,4.822784810126582,7.2727272727272725,0.46835443037974683,0.5,3.9240506329113924,3.1818181818181817,0.23767379541397626,0.13636363636363635,0.045454545454545456,0.0,-9.5,-2.0,-1.0,2.4499424626006903,0.03164556962025317,-0.7422324510932108,0.25,0.7333333333333333,0.9808292530117262,68352.0,68352.0,large,pipelines/sql/etl,False
Snap Inc.,3.0,4.0,17.0,True,1.7693283317991277,0.9058286761768892,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0,0.2857142857142857,5127.0,6215.0,7.0,6.0,7.0,2.0,7.0,5.882352941176471,0.5714285714285714,0.7647058823529411,4.857142857142857,5.176470588235294,-0.8634996556222385,0.058823529411764705,0.11764705882352941,0.2857142857142857,1088.0,-1.0,-5.0,-1.117647058823529,0.19327731092436973,0.3193277310924376,0.1875,0.5666666666666667,0.9808292530117263,7348.0,7348.0,mid,qualifications/th/display,False
