metric,n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p
breadth_resid_J3_delta,83,0.16844664580765334,0.12794689005548315,-0.049027807029689285,0.3706722274069487,0.1598324955400204,0.1489199241071105
breadth_resid_S4_delta,203,0.03942722048860872,0.5765031750629818,-0.09882167307638541,0.1761829450195742,0.0656426404435717,0.35211625120926937
ai_strict_J3_delta,83,-0.0006205624149318903,0.9955575202552384,-0.21628474852472604,0.21510136518060044,0.2979949897311004,0.006216257354929306
ai_strict_S4_delta,203,0.024537749132261658,0.7282137996467019,-0.11355831149077386,0.16170365810403795,0.19949532872175377,0.004323246329063839
