source,period,source_group,text_source,rows,unique_companies
kaggle_arshkon,2024-04,arshkon,llm,4687,2297
kaggle_arshkon,2024-04,arshkon,raw,4,3
kaggle_asaniczka,2024-01,asaniczka,llm,17037,4785
kaggle_asaniczka,2024-01,asaniczka,raw,1092,601
scraped,2026-03,scraped_2026,llm,6325,2439
scraped,2026-03,scraped_2026,raw,13452,4151
scraped,2026-04,scraped_2026,llm,6209,2577
scraped,2026-04,scraped_2026,raw,14895,4505
