period,source,label,n_states,pearson_r_raw,pearson_r_share
2024-04,kaggle_arshkon,arshkon 2024-04,47,0.9718493196110114,0.9718493196110115
2026-03,scraped,scraped 2026-03,31,0.9747142059078933,0.9747142059078933
2026-04,scraped,scraped 2026-04,29,0.9728850710247483,0.9728850710247483
