metro_area,n_2024_04,n_2026_combined,ge50_both,ge100_both
San Francisco Bay Area,359,4539,True,True
Washington DC Metro,250,2682,True,True
Dallas-Fort Worth Metro,245,1841,True,True
Seattle Metro,173,2025,True,True
Chicago Metro,151,934,True,True
Atlanta Metro,139,988,True,True
Boston Metro,132,1404,True,True
Los Angeles Metro,121,1537,True,True
Austin Metro,95,1037,True,False
Philadelphia Metro,80,765,True,False
Denver Metro,80,688,True,False
Charlotte Metro,75,971,True,False
Phoenix Metro,75,635,True,False
Detroit Metro,67,553,True,False
Houston Metro,65,468,True,False
Minneapolis-Saint Paul,54,493,True,False
San Diego Metro,53,460,True,False
Raleigh-Durham-Chapel Hill,51,499,True,False
Tampa Bay Metro,42,263,False,False
Pittsburgh Metro,40,421,False,False
Columbus Metro,39,471,False,False
Salt Lake City Metro,31,1595,False,False
Miami Metro,28,272,False,False
Portland Metro,14,153,False,False
New York City Metro,13,1862,False,False
Nashville Metro,11,205,False,False
