spec,pair,jaccard,jaccard_distance,intersection,union,top50_overlap,source_a_n,source_b_n
linkedin_all,kaggle_arshkon__vs__kaggle_asaniczka,0.11408364083640836,0.8859163591635917,742,6504,13,2298,4948
linkedin_all,kaggle_arshkon__vs__scraped,0.11138810198300284,0.8886118980169971,983,8825,21,2298,7510
linkedin_all,kaggle_asaniczka__vs__scraped,0.13502186588921283,0.8649781341107872,1482,10976,15,4948,7510
linkedin_no_aggregators,kaggle_arshkon__vs__kaggle_asaniczka,0.10798491040553285,0.8920150895944672,687,6362,9,2235,4814
linkedin_no_aggregators,kaggle_arshkon__vs__scraped,0.10690749328777154,0.8930925067122285,876,8194,18,2235,6835
linkedin_no_aggregators,kaggle_asaniczka__vs__scraped,0.13195996501797688,0.8680400349820231,1358,10291,14,4814,6835
