metro_area,n,remote_share,remote_inferred_n
Atlanta Metro,694,0.0,0
Austin Metro,732,0.0,0
Boston Metro,969,0.0,0
Charlotte Metro,599,0.0,0
Chicago Metro,708,0.0,0
Columbus Metro,306,0.0,0
Dallas-Fort Worth Metro,1200,0.0,0
Denver Metro,474,0.0,0
Detroit Metro,364,0.0,0
Houston Metro,350,0.0,0
Los Angeles Metro,938,0.0,0
Miami Metro,223,0.0,0
Minneapolis-Saint Paul,344,0.0,0
Nashville Metro,187,0.0,0
New York City Metro,1234,0.0,0
Philadelphia Metro,501,0.0,0
Phoenix Metro,368,0.0,0
Pittsburgh Metro,294,0.0,0
Portland Metro,156,0.0,0
Raleigh-Durham-Chapel Hill,365,0.0,0
Salt Lake City Metro,1056,0.0,0
San Diego Metro,348,0.0,0
San Francisco Bay Area,3000,0.0,0
Seattle Metro,1433,0.0,0
Tampa Bay Metro,208,0.0,0
Washington DC Metro,1606,0.0,0
