metric,posting_2026,worker_rate,worker_label,gap_pp,ratio_posting_over_worker,worker_over_posting
broad_ai,0.2857,0.808,SO2025 any-use,-52.23,0.3536,2.83
narrow_ai,0.4282,0.808,SO2025 any-use,-37.98,0.53,1.89
ai_tool,0.0634,0.808,SO2025 any-use,-74.46,0.0785,12.74
copilot,0.0377,0.549,SO2025 copilot share × any-use,-51.13,0.0687,14.55
chatgpt,0.0061,0.66,SO2025 chatgpt share × any-use,-65.39,0.0093,107.93
claude_tool,0.0337,0.33,SO2025 claude share × any-use,-29.63,0.102,9.8
