cell,v2_2024,v2_2026,v2_delta_pct,t21_2024,t21_2026,t21_pct
mid-senior people,0.1862,0.2323,24.8,0.186,0.232,25
mid-senior orch,0.1675,0.3317,98.0,0.168,0.332,98
director people,0.2282,0.1806,-20.9,0.228,0.181,-21
director orch,0.118,0.3015,155.5,0.118,0.302,156
