comparison,did_pp,se_pp,ci95_low_pp,ci95_high_pp,ci_crosses_zero
SWE_vs_ctrl,29.73,0.375,28.99,30.46,False
SWE_vs_adj,2.08,0.665,0.77,3.38,False
adj_vs_ctrl,27.65,0.586,26.5,28.8,False
