year,seniority_final,n,people_density,orch_density,strat_density,people_any,orch_any,strat_any
2024,director,99,0.2282,0.118,0.0349,0.3737,0.2626,0.0808
2024,entry,376,0.0638,0.105,0.0499,0.109,0.1782,0.0771
2024,mid-senior,12745,0.1862,0.1675,0.0454,0.3022,0.2862,0.0963
2026,director,112,0.1806,0.3015,0.0756,0.4286,0.5804,0.2321
2026,entry,607,0.0557,0.159,0.0372,0.0988,0.2718,0.0741
2026,mid-senior,6062,0.2323,0.3317,0.053,0.4103,0.4888,0.1325
