gap_2024,n_entry_2024,n_ms_2024,gap_2026,n_entry_2026,n_ms_2026,archetype,archetype_id,delta_gap
-0.8860374075685082,19,121,-1.4194174757281552,20,103,Amazon program boilerplate,13,-0.533380068159647
-0.274518607203432,26,1542,-0.08551590232783912,49,967,DevOps / SRE / platform,2,0.1890027048755929
-0.8114470683440007,23,591,-0.3400067422358939,190,1249,LLM / GenAI / ML engineering,0,0.4714403261081068
-0.77297365119197,100,3188,-0.2420496894409938,56,575,Defense & cleared regulated work,1,0.5309239617509762
-0.5448855989232841,20,743,0.03881578947368425,19,160,.NET / ASP.NET full-stack,7,0.5837013883969684
-0.7425101214574896,26,760,-0.13490427098674518,35,485,Data engineering (Spark/ETL),5,0.6076058504707444
-0.7625123414597097,33,1197,-0.09223744292237446,75,657,JS frontend (React/TypeScript),3,0.6702748985373352
-1.183221409241255,22,907,-0.5011684885035808,35,379,Embedded / firmware,6,0.6820529207376742
-1.2133165554218186,26,703,-0.33716475095785414,36,232,Agile/Scrum generalist,8,0.8761518044639645
-0.772814930015552,50,1286,0.11313973548016065,37,564,Java enterprise (Spring/microservices),4,0.8859546654957127
