domain,w0,w1,m0,m1,delta_w,delta_m,within_contrib,between_contrib,interaction_contrib
generic_swe,0.19908426521088315,0.17817240973773962,5.294117647058823,6.925412541254126,-0.02091185547314353,1.6312948941953023,0.3247651453531371,-0.11070982309311281,-0.03411340306148913
backend,0.18517214053006956,0.21490454349445293,7.4087018544935805,8.852243706676395,0.02973240296438337,1.4435418521828147,0.26730373471343305,0.2202785089807775,0.04291996804505178
cloud_devops,0.11503918288280356,0.1499470775020581,7.985457328740911,10.038169934640523,0.034907894619254545,2.052712605899612,0.2361423808759217,0.27875550291824164,0.07165587533035904
clearance_defense,0.12608963634762702,0.06766239366498099,2.475209497206704,4.008690614136732,-0.05842724268264603,1.5334811169300284,0.19335607637966018,-0.14461966598368634,-0.08959707336812586
ai_ml,0.02645945232015497,0.12787643576776825,6.381031613976705,8.932556713672593,0.10141698344761328,2.551525099695888,0.067511956719082,0.6471449775733725,0.2587679788020277
dotnet_legacy,0.037818085762085056,0.011603747696891294,6.289871944121071,7.8175675675675675,-0.026214338065193764,1.5276956234464967,0.05777452410586161,-0.1648848295299673,-0.040047529533743416
intern_early,0.027560095095535794,0.031988709867105725,2.9041533546325877,4.376225490196078,0.00442861477156993,1.4720721355634905,0.04057044804361826,0.012861376445230244,0.006519240404372967
embedded_firmware,0.05635291009949811,0.03567368379787526,2.73203125,3.232967032967033,-0.020679226301622854,0.5009357829670331,0.028229189143162914,-0.05649629248185556,-0.010358964418555909
qa_test,0.01717002729594083,0.01560233643027951,5.156410256410257,6.78391959798995,-0.0015676908656613187,1.6275093415796933,0.02794437981932202,-0.008083657258576698,-0.002551431528572952
data_eng,0.03614510874350621,0.05527460896154299,6.532277710109622,7.290780141843972,0.019129500218036777,0.7585024317343496,0.02741615287725196,0.1249592078798188,0.014509772433243666
process_scrum,0.02298142114995157,0.013485436512603395,7.065134099616858,7.997093023255814,-0.009495984637348175,0.9319589236389554,0.02141774051860239,-0.06709040487076642,-0.00884986762151506
customer_apps,0.02844060931584045,0.015719941981261514,0.7167182662538699,1.2144638403990025,-0.012720667334578935,0.49774557414513254,0.01415618741295041,-0.009117134637631651,-0.006331655865959225
mobile,0.018798978603504445,0.02430514720294798,3.9531615925058547,4.112903225806452,0.005506168599443535,0.1597416333005972,0.00300297954650678,0.021766774229181936,0.0008795643653035721
research_academic,0.006823985207361099,0.01258379395507468,3.329032258064516,3.2616822429906542,0.005759808747713581,-0.06735001507386196,-0.00045959550657958105,0.019174589121420695,-0.00038792320598107164
other,0.09606410143523818,0.045199733427417774,5.345554537121907,4.321769297484822,-0.050864368007820404,-1.0237852396370846,-0.09834900910839652,-0.27189825318204275,0.05207418918987527
