metric,value_2024,value_2026,delta_pp,within_pp,between_pp,interaction_pp,n_2024,n_2026
"J3 (YOE<=2, primary)",0.0914,0.1421,5.07,6.84,-0.02,-1.75,18170,20261
J1 (seniority_final=entry),0.0182,0.0463,2.81,3.4,0.01,-0.6,22714,25509
J2 (seniority_3level=junior),0.0182,0.0463,2.81,3.4,0.01,-0.6,22714,25509
S4 (YOE>=5),0.7075,0.6318,-7.58,-9.1,-0.58,2.1,18170,20261
