group,n,hedge_sum,firm_sum,aggregate_ratio,mean_post_ratio,median_post_ratio,ai_tool_rate,ai_domain_rate,text_source
AI,0,0,0,,,,,,raw_core
non_AI,0,0,0,,,,,,raw_core
