uid,source,period,title,company_name_canonical,is_aggregator,yoe_extracted,kitchen_sink_product,aspiration_ratio,yoe_scope_mismatch,degree_contra,management_broad_count,management_strong_count,scope_count,tech_count,any_ai_text,core_text
linkedin_li-4397373047,scraped,2026-04,"Software Engineer, Bridge",Stripe,False,5.0,4,1.5,1,0,5,0,2,2,True,"* Ship software to build out our suite of API products. We’re an engineering and API-first company, and you will learn first-hand and contribute towards building highly reliable, performant, and mission critical infrastructure serving thousands of developers across the globe. * Take sole ownership of projects, oftentimes without the support of Product Management, and liaise both internally with teams like Legal/Compliance and externally with our partners and developers. * Look for constant improvements to our product offerings with the explicit goal of improving the experience for our partners and end users. * Make effective tradeoffs that consider business priorities, user experience, and a sustainable technical foundation. * Improve engineering standards, tooling and processes for the team and our broader org. * Experience building backend systems with SQL databases. Experience with frameworks such as Rails, Django, Express or equivalent is a bonus. * An enlarged sense of ownership and the ability to lead and influence the design and direction of our products. * An ability to thrive in a fast paced environment. * A growth mindset and a constant curiosity and fearlessness to dive into the unknown. * An ability to write maintainable, well-tested, modular code, but also be pragmatic about moving fast. * Excellent written and verbal communication skills, including the ability to write clear technical documentation. * Past experience working on crypto or financial products a plus, and while not required, we do look for people who are very passionate about building in this space. * Experience with building API products a plus, but not required. * Experience working with blockchain or distributed systems a big plus"
linkedin_li-4388793259,scraped,2026-03,Development Program (CDP) / Software Engineer - Entry to Mid Level (Maryland),National Security Agency,False,3.0,0,0.0,1,1,2,0,0,6,True,"NSA is seeking Software Engineers to advance a number of high impact systems and teams. Opportunities change constantly, but recent needs include: large scale platform development (hardware and software, HPC, cloud); accessibility development (508 compliance); AI/ML; complex algorithms and cryptography. As a Software Engineer at NSA, your work makes the world a safer place in countless ways including: saving lives of U.S. and allied soldiers; providing U.S. policy and decision makers with critical, timely intelligence; ensuring the continued safety of U.S. citizens and residents by thwarting foreign adversaries; and defending vital networks. More common tools and areas of interest include: C/C\+\+, Java, cloud computing, Angular, React, Python, PIG Analytics, Pyspark, agile development, continuous integration/continuous delivery (CI/CD), containers and Docker, Kubernetes, Amazon Web Services (AWS), Linux (VMWare), ElasticSearch, Rust, micro services, Ansible, clusters, digital forensics, incident response, quantum, and so much more. Beyond technical skills, we also need strong critical thinkers, collaborators, independent self-starters, continuous learners and flexible contributors. As a new Software Engineer, NSA has opportunities for you to contribute, learn, and grow in virtually any Computer Science focus area, including: Cybersecurity, High Performance Computing (HPC), Quantum Computing Research, Data Analytics, Machine Learning/Artificial Intelligence (ML/AI), Cryptology/Cryptography, and countless others. If it is considered Computer Science, chances are good we have at least one team focused on it. Applicants will be selected to go directly into a development program. NSA's development programs help employees enhance their skills and improve their understanding of a specific discipline. The programs are generally three years long and feature rotational tours throughout the Agency. The qualifications listed are the minimum acceptable to be considered for the position. Degree must be in Computer Science (CS) or Software Engineering. Related fields (e.g., Engineering, Mathematics) may be considered relevant if the programs contain, at minimum, a concentration of courses in the following foundational CS areas: algorithms; computer architecture (not network architecture); programming methodologies and languages; data structures; logic and computation; and advanced mathematics (for example, calculus, discrete mathematics). Relevant experience must be in the software development process (i.e., requirements analysis, software design, implementation, testing, integration, deployment/installation, and maintenance) and programming. ENTRY/DEVELOPMENTAL Entry is with a Bachelor's degree and no experience. An Associate's degree plus 2 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. FULL PERFORMANCE Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position. Training will be provided based on the selectee's needs and experience. Work Schedule: This is a full-time position, Monday Friday, with basic 8hr/day work requirement between 6:00 a.m. and 6:00 p.m. (flexible). DCIPS Trial Period: If selected for this position, you will be required to serve a two-year DCIPS trial period, unless you are a veterans' preference-eligible employee, in which case you are required to serve a one-year trial period. This trial period runs concurrently with your commitment to the position, if applicable. Upon completion of your trial period, your employment will be terminated unless you receive certification, in writing, that your continued employment advances the public interest. If you do not receive certification for continued employment, you should receive written notice prior to the end of your trial period that your employment will be terminated and the effective date of such termination. For job vacancies that include stated testing requirements, also include the following: @uwe.nsa.gov, @nsa.gov, and @pearson.com** U.S. Citizenship is required for all applicants. Employment is contingent upon successful completion of a security background investigation and polygraph. Use of industry norms is common, including but not limited to: Docker, AWS, GitLab, Open Source (see code.nsa.gov for examples of NSA contribution), Databases (both relational and non-relational), various languages (Java, C, C\+\+, Python, etc.). The ideal candidate will reflect specialized skill or interest in one or more of the following skills/technologies: Strong background in advanced mathematics (i.e. number theory, abstract algebra, linear algebra, probability theory, and discrete mathematics) Solid grasp of data structure, algorithms, operating systems, and computer architecture. Proficiency in languages like C/C\+\+, Python, and Java. Knowledge of both symmetric and asymmetric cryptography, including hash functions, encryption, digital signatures, and key exchange. Familiarity with protocols like TLS/SSL and network security principles for secure communications. Understanding of hardware security modules (HSMs) and other secure computing (cloud) platforms. Familiarity with Security Information and Event Management (SIEM), intrusion detection systems (IDS), and vulnerability assessment tools. Knowledge using cryptographic libraries, APIs and adherence to security standards (NIST, ISO 27001, and OWASP guidelines). Teamwork Leadership Good Interpersonal Skills"
linkedin_li-4262546412,scraped,2026-03,Software Engineer Graduate (Data Arch - AI/ML Infrastructure) - 2026 Start (PhD),TikTok,False,,0,1.0,1,0,2,0,0,1,True,"Our Recommendation Architecture Team is responsible for building up and optimizing the architecture for our recommendation products to provide the most stable and best experience for our TikTok users. We are looking for talented individuals to join our team in 2026\. Successful candidates must be able to commit to an onboarding date by end of year 2026\. We will prioritize candidates who are able to commit to these start dates. Please state your availability and graduation date clearly in your resume. What You'll Do * Build and maintain high performance online services for TikTok recommendation system to support various types of products, such as For You Feed, E-commerce, Social, etc. * Build extremely efficient and reliable data pipelines for candidates generation, profile generation, training examples generation, realtime online training, etc; * Build globalized large-scale recommendation system; * Design and develop high performance computing frameworks and storage systems. * PhD's degree (or expected by 2026\) in Computer Science, Machine Learning, Artificial Intelligence, or related fields. * Research background in ML/AI, with a focus on inference optimization, model acceleration, or efficient ML systems. * Experience in programming, included but not limited to, the following programming languages: C, C\+\+, Java or Python. * Problem-solving skills, self-driven learning mindset, and effective communication. Preferred Qualifications * Demonstrated ability to translate research into practical system implementations. * Experience (academic or practical) in areas such as recommendation systems, search, distributed systems, or big data processing."
linkedin_li-4392962788,scraped,2026-03,Junior Software Developer,Two Six Technologies,False,1.0,0,1.0,1,0,3,0,0,5,False,"Include As a member of our team you will join a dedicated group of engineers who provide troubleshooting and operations support, with a focus on security, containerization, and automation. You will dive deep into technical issues and work diligently to improve the customer experience, including delivery of highly secure cloud based offerings through applications, services, and consulting. You will create new environments/services/offerings which will involve coordination with outside groups, architecture, security design and creation, including identifying when implementations are not highly available or have defects. * 1-2 years of professional software development experience * Proficiency with Go programming language (or other modern programming languages) * Understanding of RESTful API design and development * Strong knowledge of Git version control (branching, merging, pull requests) * Experience working in collaborative team environments * Familiarity with microservices architecture concepts * Basic understanding of containerization (Docker) * Knowledge of software testing principles and practices * Strong problem-solving and debugging skills * Excellent communication skills and willingness to learn Nice To Haves * Exposure to Angular or other modern frontend frameworks * Experience with Kubernetes or container orchestration platforms * Familiarity with CI/CD pipelines and Gitlab workflows * Knowledge of Helm charts or infrastructure-as-code tools * Experience with API gateways (Traefik or similar) * Exposure to distributed systems concepts * Familiar with VS Code or modern development environments Security Clearance * Active TS/SCI required. TS/SCI w. Poly preferred"
linkedin_li-4378394799,scraped,2026-03,Jr Software Engineer,Spot & Tango,False,,7,4.0,0,0,6,0,1,7,True,"* Play a role in designing and building new features for our core products, primarily using TypeScript, React, React Native, and NextJS * QA efforts by writing integration tests and thoroughly testing code before merging * Collaborate with cross-functional stakeholders to ensure web applications achieve their business goals * Optimize applications for maximum performance and responsiveness, especially on mobile devices * Troubleshoot, debug, and resolve software defects and issues * Implement security best practices to ensure the integrity and confidentiality of user data * Stay up-to-date with emerging technologies and industry trends, and apply them to enhance our products * Participate in code reviews to maintain code quality and ensure compliance with coding standards * Contribute to the development of technical documentation and knowledge sharing within the team * Help us scale the company, the culture, and our products * BS in Computer Science, Engineering, or a related field strongly preferred * 0-3 years of professional experience developing software * Proficiency in NextJS and React, with a strong portfolio showcasing your work * Experience in developing and deploying web applications * Ability to work independently and as part of a collaborative team * Ability to find simple solutions to complex problems * Excellent communication skills * Solid understanding of front-end technologies such as HTML, CSS, and TypeScript * Experience with AWS services preferred * Experience with version control systems (e.g., Git) * Excellent problem-solving skills and attention to detail * Experience working in a startup environment, and familiarity with DTC (Direct-to- Consumer) business models and e-commerce is a plus * Familiarity with RESTful APIs and third-party integrations * Familiarity with SQL, Python, and Django is preferred If you have a passion for technology, a desire to work with a high-performing engineering team, and are excited about the prospect of contributing to the growth of a DTC startup, we encourage you to apply for this exciting opportunity. *You must be able to commute into our office in Midtown Manhattan Monday, Wednesday, and Thursday.*"
linkedin_li-4391608719,scraped,2026-03,Software Engineer Intern - Summer 2026,Novaflow (YC S25),False,,7,2.0,0,0,1,0,1,7,False,"We're hiring a Software Engineer Intern to help build the backend infrastructure and services that power our platform. You'll work on APIs, cloud infrastructure, databases, and data pipelines that move real genomics data through the system. The code you write will ship to production and be used by scientists. This is not a sit-in-the-corner internship. We're a small team and you'll work directly with the founders on real problems from day one. We're looking for someone with high agency who takes initiative and doesn't wait to be told what to do. Biology background is not required. What You'll Work On * Help build and maintain APIs and backend services in Python, Go, or similar * Assist with cloud infrastructure setup and management on AWS or GCP * Work with SQL and NoSQL databases, optimize queries, and help design data models * Build data pipelines and integrations with third-party services * Contribute to CI/CD pipelines, monitoring, and observability * Help improve engineering processes and tooling * Currently pursuing or recently completed a Bachelor's or Master's in Computer Science, Engineering, or a related field * Proficient in Python; familiarity with Node.js is a plus * Comfortable with SQL databases * Some experience with cloud platforms (AWS or GCP) or willingness to learn quickly * Familiar with Git and basic software development practices * Good communicator who can explain technical decisions clearly Nice to Have * Experience with Docker and containerization * Familiarity with Terraform or infrastructure-as-code * Experience with microservices or API design * Exposure to Kubernetes * Previous startup experience (prior experience either working for or founding a startup)"
linkedin_li-4274317782,scraped,2026-03,Software Engineer Graduate (Ads Measurement Signal and Privacy Infra Technology) - 2026 Start (BS/MS),TikTok,False,,8,1.0,0,0,5,2,4,2,False,"Our Ads Measurement Signal and Privacy Infra team is missioned to build our security and governance infrastructure and process for the ads system end-to-end while making sure our platform with large volume of various signals and data are constantly compliant with regional regulations across the world. The team will be responsible for exploring and implementing cutting-edge privacy-enhancing technologies to protect our users while keeping TikTok a free and creative community. You will be a key player in data privacy, protection, security and managing cross-functional programs to continuously improve the process. Successful candidates must be able to commit to an onboarding date by end of year 2026\. Please state your availability and graduation date clearly in your resumes. * Build various products to handle signal integration, management and insights through both building in-house TT cutting edge solution and dealing with many third-party data partners integrations. * Design, build and maintain scalable and future-proof tech foundations to manage data collection and data quality. * Work with cross-functional teams (inc. product, data scientist, UX, compliance) to continuously improve comprehensive measurement. * Lead and manage development of products and processes to respond to urgent business needs. * Identify, explore and implement cutting-edge measurement technologies. * BS/MS Degree in Computer Science, Computer Engineering or relevant technical field. * Strong knowledge of data structures and algorithms, proficient in at least one coding language, including but not limited to Go, JavaScript, Java, C\+\+. * Excellent communication, teamwork skills, and strong ownership. * Curiosity towards new technologies and solutions, and outstanding ability to analyze and solve problems. * Experience with measurement technologies, such as Web/App tracking, SKAN, PCM, MMP, Privacy Sandbox. Specific production practices are preferred. For Los Angeles County (unincorporated) Candidates Qualified applicants with arrest or conviction records will be considered for employment in accordance with all federal, state, and local laws including the Los Angeles County Fair Chance Ordinance for Employers and the California Fair Chance Act. Our company believes that criminal history may have a direct, adverse and negative relationship on the following job duties, potentially resulting in the withdrawal of the conditional offer of employment: * Interacting and occasionally having unsupervised contact with internal/external clients and/or colleagues; * Appropriately handling and managing confidential information including proprietary and trade secret information and access to information technology systems; and * Exercising sound judgment."
arshkon_3905329260,kaggle_arshkon,2024-04,Junior Full Stack Developer,Palisades Group,False,,7,1.0,0,0,11,0,1,7,True,"Palisades is seeking a Junior Full Stack Developer to join its growing and dynamic team in either Austin, Texas, or Evanston/Chicago, Illinois. As part of the Development team, the candidate will be responsible for learning, maintaining and improving codebases for existing applications as well as contributing to new applications. This individual will work closely with the Development Team to create and maintain applications supporting various teams including Trading & Analytics, Collateral Management, Asset Management, Transaction Management, and Business Intelligence. The candidate's responsibilities will include writing clean, scalable, and efficient code and tests for both the frontend and backend of applications. The Junior Developer will work closely with the lead developer, business users, and stakeholders to achieve project goals. This is a small team, and any candidate must be a team player, able and willing to work on cross-over projects, able to pick up complex concepts and communicate effectively to both internal and external constituents. The position will allow the candidate to work collaboratively across the Company’s cross-functional teams (Data Research & Reporting, Trading & Analytics, Asset Management, Capital Markets, Transaction Management, and Collateral Management) and to learn from the firm’s industry-leading professionals. The ideal candidate will be intellectually curious, a self-starter, have a strong attention to detail, and be able to work under time-sensitive deadlines. Learning and maintaining proprietary software.Assisting with the testing and maintenance of back-end and front-end applications.Assisting with creating and maintaining technical documentation and user guides.Collaborating with developers to implement new application features.Running analyses to ensure efficient execution of code. Our typical stack is:VueDjangoPostgres Education: Bachelor's degree in Computer Science.Experience: 0-4 years of experience. The company will consider a recent undergraduate with a strong academic background.Knowledge of HTML, CSS, and JavaScript. Experience with a JavaScript framework like Vue, React, or Angular is beneficial.Understanding of server, database, and API interactions. Experience with a backend framework like Django or Node.js is beneficial.Experience with Python.Familiarity with relational databases and SQL.Knowledge of unit testing and integration testing. Experience with mocking data is beneficial.Understanding of version control systems (Git). Understanding of Enterprise Content Management Systems (ECMS). Understanding of Data Extract-Transform-Load (ETL) tools.Working knowledge of MS Excel. Preferred Requirements:Interest in Finance, Markets, and Real EstateKnowledge of Django Rest Framework, Celery, RedisKnowledge of Vuex/Pinia, fetch librariesKnowledge of Machine Learning, AIKnowledge of UX"
linkedin_li-4382949422,scraped,2026-03,Data Engineer Intern,Cornspring,False,,3,5.0,0,0,3,0,1,3,True,"We are looking for an enthusiastic and driven Data Engineer Intern to build and maintain ingestion pipelines and validation / reconciliation logic. If you like system thinking, performance, reliability, and debugging complex problems with strong engineering discipline, we would love to speak with you. Key Responsibilities * Build efficient data pipelines for financial data flows whilst ensuring data and analytics are leveraged for future growth. * Monitor data movement, transformation logic and performance of all pipelines as required to maintain data integrity and quality supplied to ML processes. * Designing and implementing data solutions for new data and servicing initiatives and providing continuous oversight for existing solutions to maintain data accuracy, service quality and solution performance. Educational Background and Professional Experience * Undergraduate (junior/senior preferred) or graduate students in Computer Science, Data Science, or a related field. * Experience designing, building, and maintaining data pipelines for large-scale data solutions. Core Technical Proficiencies * Proficiency in Python, pandas and data science libraries plus solid SQL skills for querying and manipulating large datasets. Experience with PostgreSQL is preferred. * Ability to design scalable, secure data models and implement best practices for data storage and retrieval. * Familiarity with AI for coding, machine learning applications and approaches to maintain high-quality, compliant data for AI-driven use cases. Experience with data unit testing is preferred. * Good communication skills to collaborate with cross-functional teams - including data scientists, AI engineers, and business stakeholders - to deliver secure, high-performing data solutions. * Experience with unstructured data processing is a plus. * Experience with Azure cloud services is a plus."
linkedin_li-4389739426,scraped,2026-03,Software Engineer,Belay Technologies,False,,4,1.0,0,0,1,0,1,4,True,"* Develop and maintain web applications that interact with Java microservices * Work closely with tech lead on technical decisions and product roadmap * Resolve challenging software engineering design problems * Interact with customer to resolve issues and propose new features * Support testing and deployment of production applications Candidates should have the following qualifications: * TS/SCI Clearance with polygraph * 3 yrs., B.S. in a technical discipline or 4 additional yrs. in place of B.S Candidates are required to have the following skills: * Experience with design, debugging, and problem solving with JavaScript/ typescript * Experience with Vue, React, or a similar frontend framework * RESTful web application experience * Interacting with MongoDB or similar database technology. Automated testing Candidates are desired to have the following skills: * Full stack experience with a focus on Java or a JVM based language * Kafka experience * Excellent written and verbal communication skills * Linux administration experience * Experience with automated build tools, continuous integration, and continuous * deployment * Experience with AI tools such as Claude Code"
