swe_classification_tier,mean_conf,min_conf,max_conf,n,n_in_03_07
embedding_high,0.894,0.850314199924469,0.9881746768951416,1054,0
regex,1.0,1.0,1.0,58064,0
title_lookup_llm,0.9,0.9,0.9,4583,0
