source,period,is_swe_but_llm_notswe,is_swe_but_llm_adj,is_swe_and_llm_swe,is_swe_llm_null,n_is_swe
kaggle_arshkon,2024-04,365,269,2283,1774,4691
kaggle_asaniczka,2024-01,1074,548,3568,12939,18129
scraped,2026-03,254,308,2912,16303,19777
scraped,2026-04,243,301,2900,17660,21104
