source,period,swe_classification_tier,n,pct
kaggle_arshkon,2024-04,embedding_high,77,1.64
kaggle_arshkon,2024-04,regex,4158,88.64
kaggle_arshkon,2024-04,title_lookup_llm,456,9.72
kaggle_asaniczka,2024-01,embedding_high,386,2.13
kaggle_asaniczka,2024-01,regex,15775,87.02
kaggle_asaniczka,2024-01,title_lookup_llm,1968,10.86
scraped,2026-03,embedding_high,291,1.47
scraped,2026-03,regex,18468,93.38
scraped,2026-03,title_lookup_llm,1018,5.15
scraped,2026-04,embedding_high,300,1.42
scraped,2026-04,regex,19663,93.17
scraped,2026-04,title_lookup_llm,1141,5.41
