category,source,period,n_swe,n_adjacent,n_control,n_other,n_total
ml_engineer,kaggle_arshkon,2024-04,91,0,0,1,92
ml_engineer,kaggle_asaniczka,2024-01,208,0,0,8,216
ml_engineer,scraped,2026-03,761,8,0,17,786
ml_engineer,scraped,2026-04,835,10,0,17,862
data_engineer,kaggle_arshkon,2024-04,340,9,0,17,366
data_engineer,kaggle_asaniczka,2024-01,970,46,0,60,1076
data_engineer,scraped,2026-03,1501,38,0,33,1572
data_engineer,scraped,2026-04,1607,25,0,39,1671
devops_engineer,kaggle_arshkon,2024-04,247,4,0,2,253
devops_engineer,kaggle_asaniczka,2024-01,520,4,0,2,526
devops_engineer,scraped,2026-03,901,6,0,2,909
devops_engineer,scraped,2026-04,956,3,0,4,963
platform_engineer,kaggle_arshkon,2024-04,39,2,0,3,44
platform_engineer,kaggle_asaniczka,2024-01,187,45,0,7,239
platform_engineer,scraped,2026-03,285,17,0,20,322
platform_engineer,scraped,2026-04,327,16,2,19,364
security_engineer,kaggle_arshkon,2024-04,4,226,0,13,243
security_engineer,kaggle_asaniczka,2024-01,3,472,0,42,517
security_engineer,scraped,2026-03,29,925,0,24,978
security_engineer,scraped,2026-04,18,970,0,30,1018
qa_engineer,kaggle_arshkon,2024-04,57,31,2,282,372
qa_engineer,kaggle_asaniczka,2024-01,188,86,18,1768,2060
qa_engineer,scraped,2026-03,186,114,6,220,526
qa_engineer,scraped,2026-04,202,98,4,245,549
