source,period,swe_classification_llm,n
kaggle_arshkon,2024-04,NOT_SWE,365
kaggle_arshkon,2024-04,SWE,2283
kaggle_arshkon,2024-04,SWE_ADJACENT,269
kaggle_asaniczka,2024-01,NOT_SWE,1074
kaggle_asaniczka,2024-01,SWE,3568
kaggle_asaniczka,2024-01,SWE_ADJACENT,548
scraped,2026-03,NOT_SWE,254
scraped,2026-03,SWE,2912
scraped,2026-03,SWE_ADJACENT,308
scraped,2026-04,NOT_SWE,243
scraped,2026-04,SWE,2900
scraped,2026-04,SWE_ADJACENT,301
