analysis_group,subgroup,2024,2026,n_2024_thin,n_2026_thin
control,accountant,4495.0,2910.0,False,False
control,civil_engineer,275.0,424.0,True,True
control,electrical_engineer,788.0,1115.0,False,False
control,financial_analyst,765.0,874.0,False,False
control,mechanical_engineer,540.0,967.0,False,False
control,nurse,13101.0,6801.0,False,False
control,other_control,2676.0,935.0,False,False
swe,ml_engineer,370.0,1864.0,True,False
swe,other_swe,22442.0,23958.0,False,False
swe_adjacent,data_analyst,556.0,820.0,False,False
swe_adjacent,data_engineer,24.0,145.0,True,True
swe_adjacent,data_scientist,828.0,2797.0,False,False
swe_adjacent,devops_engineer,12.0,6.0,True,True
swe_adjacent,ml_engineer,37.0,187.0,True,True
swe_adjacent,network_engineer,1384.0,1419.0,False,False
swe_adjacent,other_adjacent,4390.0,3421.0,False,False
swe_adjacent,qa_engineer,1086.0,940.0,False,False
swe_adjacent,security_engineer,884.0,2456.0,False,False
swe_adjacent,solutions_architect,902.0,583.0,False,False
swe_adjacent,systems_admin,1708.0,115.0,False,True
