analysis_group,subgroup,n_2026,employer_2026,worker_daily_mid,gap_2026_daily
control,accountant,2910.0,0.006872852233676976,0.2,0.19312714776632303
control,electrical_engineer,1115.0,0.0008968609865470852,0.12,0.11910313901345292
control,financial_analyst,874.0,0.013729977116704805,0.12,0.10627002288329519
control,mechanical_engineer,967.0,0.001034126163391934,0.1,0.09896587383660807
control,civil_engineer,424.0,0.0047169811320754715,0.08,0.07528301886792453
control,nurse,6801.0,0.0,0.05,0.05
swe_adjacent,ml_engineer,187.0,0.6310160427807486,0.6,-0.031016042780748654
swe_adjacent,data_engineer,145.0,0.12413793103448276,0.4,0.27586206896551724
swe_adjacent,data_scientist,2797.0,0.17375759742581337,0.45,0.27624240257418664
swe_adjacent,devops_engineer,6.0,0.16666666666666666,0.4,0.23333333333333336
swe_adjacent,solutions_architect,583.0,0.15608919382504288,0.35,0.1939108061749571
swe_adjacent,data_analyst,820.0,0.01951219512195122,0.3,0.28048780487804875
swe_adjacent,qa_engineer,940.0,0.018085106382978722,0.25,0.23191489361702128
swe_adjacent,security_engineer,2456.0,0.050895765472312705,0.18,0.1291042345276873
swe_adjacent,systems_admin,115.0,0.017391304347826087,0.18,0.1626086956521739
swe_adjacent,network_engineer,1419.0,0.005637773079633545,0.15,0.14436222692036646
