analysis_group,subgroup,period_year,n,ai_strict_rate,ai_broad_rate
control,accountant,2024,4495,0.0002224694104560623,0.019132369299221356
control,accountant,2026,2910,0.006872852233676976,0.15360824742268042
control,civil_engineer,2024,275,0.0,0.0
control,civil_engineer,2026,424,0.0047169811320754715,0.07547169811320754
control,electrical_engineer,2024,788,0.0,0.04187817258883249
control,electrical_engineer,2026,1115,0.0008968609865470852,0.15784753363228698
control,financial_analyst,2024,765,0.00130718954248366,0.043137254901960784
control,financial_analyst,2026,874,0.013729977116704805,0.17848970251716248
control,mechanical_engineer,2024,540,0.0,0.02962962962962963
control,mechanical_engineer,2026,967,0.001034126163391934,0.1375387797311272
control,nurse,2024,13101,0.002976871994504236,0.01251812838714602
control,nurse,2026,6801,0.0,0.017791501249816204
control,other_control,2024,2676,0.0011210762331838565,0.026532137518684603
control,other_control,2026,935,0.0042780748663101605,0.08342245989304813
swe,ml_engineer,2024,370,0.12432432432432433,0.9891891891891892
swe,ml_engineer,2026,1864,0.4747854077253219,0.9978540772532188
swe,other_swe,2024,22442,0.0055699135549416275,0.13813385616255236
swe,other_swe,2026,23958,0.1116119876450455,0.4771266382836631
swe_adjacent,data_analyst,2024,556,0.0017985611510791368,0.1618705035971223
swe_adjacent,data_analyst,2026,820,0.01951219512195122,0.30853658536585366
swe_adjacent,data_engineer,2024,24,0.0,0.2916666666666667
swe_adjacent,data_engineer,2026,145,0.12413793103448276,0.6
swe_adjacent,data_scientist,2024,828,0.03985507246376811,0.8043478260869565
swe_adjacent,data_scientist,2026,2797,0.17375759742581337,0.8548444762245263
swe_adjacent,devops_engineer,2024,12,0.0,0.16666666666666666
swe_adjacent,devops_engineer,2026,6,0.16666666666666666,0.3333333333333333
swe_adjacent,ml_engineer,2024,37,0.35135135135135137,1.0
swe_adjacent,ml_engineer,2026,187,0.6310160427807486,1.0
swe_adjacent,network_engineer,2024,1384,0.0,0.046242774566473986
swe_adjacent,network_engineer,2026,1419,0.005637773079633545,0.1719520789288231
swe_adjacent,other_adjacent,2024,4390,0.004100227790432802,0.10637813211845103
swe_adjacent,other_adjacent,2026,3421,0.13300204618532593,0.4697456883952061
swe_adjacent,qa_engineer,2024,1086,0.0,0.02578268876611418
swe_adjacent,qa_engineer,2026,940,0.018085106382978722,0.14680851063829786
swe_adjacent,security_engineer,2024,884,0.0022624434389140274,0.08257918552036199
swe_adjacent,security_engineer,2026,2456,0.050895765472312705,0.370114006514658
swe_adjacent,solutions_architect,2024,902,0.005543237250554324,0.14634146341463414
swe_adjacent,solutions_architect,2026,583,0.15608919382504288,0.5231560891938251
swe_adjacent,systems_admin,2024,1708,0.0,0.049765807962529274
swe_adjacent,systems_admin,2026,115,0.017391304347826087,0.20869565217391303
