period,seniority,n,pct_narrow_mgmt
2024,entry,960,9.479166666666666
2024,associate,1678,9.237187127532778
2024,mid-senior,24528,23.079745596868882
2024,director,113,47.78761061946903
2026,entry,3255,40.76804915514593
2026,associate,622,33.762057877813504
2026,mid-senior,18370,49.86935220468155
2026,director,222,54.5045045045045
