n_junior_uids=204, n_mid_senior_uids=11532
skills_tested=750, significant_fdr05=5

Top 15 skills OVER-represented in junior:
    skill  j_with  m_with  rate_junior  rate_mid_senior  diff_pp      chi2      p_value  rank    p_fdr  significant_fdr05
      iot       7      55     0.034314         0.004769 2.954439 27.911274 1.270076e-07     1 0.000095               True
polygraph       7      78     0.034314         0.006764 2.754994 17.501786 2.870379e-05     3 0.007176               True
    excel       7      89     0.034314         0.007718 2.659607 14.352488 1.515792e-04     4 0.028421               True
      svn       7      91     0.034314         0.007891 2.642264 13.860351 1.969091e-04     5 0.029536               True
    nginx       6      44     0.029412         0.003815 2.559629 25.218343 5.119298e-07     2 0.000192               True

Top 15 skills OVER-represented in mid+senior:
    skill  j_with  m_with  rate_junior  rate_mid_senior  diff_pp      chi2      p_value  rank    p_fdr  significant_fdr05
    nginx       6      44     0.029412         0.003815 2.559629 25.218343 5.119298e-07     2 0.000192               True
      svn       7      91     0.034314         0.007891 2.642264 13.860351 1.969091e-04     5 0.029536               True
    excel       7      89     0.034314         0.007718 2.659607 14.352488 1.515792e-04     4 0.028421               True
polygraph       7      78     0.034314         0.006764 2.754994 17.501786 2.870379e-05     3 0.007176               True
      iot       7      55     0.034314         0.004769 2.954439 27.911274 1.270076e-07     1 0.000095               True
