period,community_2024,size_2024,best_match_2026,size_2026,jaccard
2024->2026,0,20,1,19,0.7727272727272727
2024->2026,1,14,0,20,0.36
2024->2026,2,8,3,12,0.5384615384615384
2024->2026,3,7,4,8,0.6666666666666666
2024->2026,4,5,0,20,0.25
2024->2026,5,3,2,17,0.17647058823529413
2024->2026,6,3,0,20,0.09523809523809523
2024->2026,7,2,8,2,1.0
2024->2026,8,1,9,1,1.0
2024->2026,9,1,10,1,1.0
2024->2026,10,1,11,1,1.0
2024->2026,11,1,14,1,1.0
