period,ai_mentioning,n,mean_tech_count,median_tech_count,mean_tech_density_per_1k,median_tech_density_per_1k,mean_desc_len
2024,False,22336,4.729629297994269,4.0,1.8380612892619623,1.1546391831115854,3753.022564469914
2024,True,484,6.349173553719008,5.0,1.8508475520823653,1.4513788098693758,4227.256198347108
2026,False,31423,5.654138688222003,5.0,1.5997515084498972,1.0845986984815619,4805.6080896158865
2026,True,9458,9.015965320363714,8.0,2.199054471605789,1.6519823788546255,5265.547261577501
