skill,j_with,m_with,rate_junior,rate_mid_senior,diff_pp,chi2,p_value,rank,p_fdr,significant_fdr05
iot,7,55,0.03431372549019608,0.004769337495664239,2.954438799453184,27.911274475431856,1.270075537713219e-07,1,9.525566532849142e-05,True
nginx,6,44,0.029411764705882353,0.003815469996531391,2.5596294709350964,25.21834297003667,5.119298221484048e-07,2,0.00019197368330565182,True
polygraph,7,78,0.03431372549019608,0.006763787721123829,2.7549937769072255,17.501786435359712,2.8703785039064784e-05,3,0.007175946259766196,True
excel,7,89,0.03431372549019608,0.007717655220256677,2.6596070269939402,14.352488386522527,0.00015157922474709715,4,0.028421104640080717,True
svn,7,91,0.03431372549019608,0.007891085674644468,2.6422639815551614,13.860351020092246,0.00019690912334746613,5,0.02953636850211992,True
pandas,5,57,0.024509803921568627,0.004942767950052029,1.95670359715166,11.118541925416253,0.0008546895020607661,6,0.10683618775759575,False
apache,5,58,0.024509803921568627,0.005029483177245924,1.9480320744322703,10.832114045650034,0.0009975467727761215,7,0.10688001136887015,False
terraform,1,673,0.004901960784313725,0.058359347901491505,-5.345738711717778,9.61772065828702,0.001927087612623036,8,0.1806644636834096,False
mentoring,1,636,0.004901960784313725,0.055150884495317375,-5.024892371100364,8.905571229995948,0.002843019295283983,9,0.2369182746069986,False
microsoft office suite,8,148,0.0392156862745098,0.012833853624696497,2.638183264981331,8.720932992820392,0.0031457701658490675,10,0.23593276243868005,False
autocad,5,68,0.024509803921568627,0.005896635449184877,1.861316847238375,8.42536688203006,0.0037002197666110488,11,0.25228771135984424,False
programming,10,224,0.049019607843137254,0.019424210891432536,2.9595396951704718,7.5342183595565055,0.006053799568703498,12,0.3783624730439686,False
c/c++,16,445,0.0784313725490196,0.03858827610128338,3.9843096447736226,7.40951471632671,0.006487982164224218,13,0.37430666332062795,False
electronics,4,49,0.0196078431372549,0.004249046132500867,1.5358797004754035,7.379173301543506,0.006598349405493806,14,0.3534830038657396,False
objectoriented design,8,161,0.0392156862745098,0.013961151578217135,2.5254534696292668,7.316434407962575,0.006832684024408505,15,0.34163420122042526,False
software engineering,21,2051,0.10294117647058823,0.17785293097467916,-7.491175450409093,7.230932111183406,0.007165799219750813,16,0.33589683842581936,False
