title_normalized,n
accountant,7439
registered nurse,3592
electrical engineer,3093
financial analyst,2429
mechanical engineer,2355
accounting manager,2276
registered nurse (rn),1364
nurse practitioner,1106
civil engineer,892
. accountant,628
tax accountant,625
travel nurse - rn - ms - medical surgical,408
nurse,404
property accountant,360
project accountant,336
cost accountant,330
. financial analyst,283
registered nurse - rn,253
nurse manager,241
accounting clerk,224
licensed practical nurse,217
. electrical engineer,196
family nurse practitioner,194
travel nurse - rn - er - emergency room,189
registered nurse/rn,182
