source,company_name_canonical,n_postings,n_desc,max_dup_ratio
kaggle_arshkon,SynergisticIT,5,1,5.0
kaggle_arshkon,Cogent Communications,6,3,2.0
kaggle_arshkon,Angi,2,1,2.0
kaggle_arshkon,Global Data Tek Inc,2,1,2.0
kaggle_arshkon,HireBus,2,1,2.0
kaggle_arshkon,Nesco Resource,2,1,2.0
kaggle_arshkon,"Platinum Enterprise Solutions, Inc.",2,1,2.0
kaggle_arshkon,USCTEK - Recruiting & Staffing,2,1,2.0
kaggle_arshkon,Modine Manufacturing Company,3,2,1.5
kaggle_arshkon,Block,5,4,1.25
kaggle_arshkon,Franklin Fitch,7,6,1.1666666666666667
kaggle_arshkon,maven,15,13,1.1538461538461537
kaggle_arshkon,hackajob,10,9,1.1111111111111112
kaggle_arshkon,Selby Jennings,11,10,1.1
kaggle_arshkon,Apex Systems,52,52,1.0
kaggle_arshkon,Capital One,52,52,1.0
kaggle_arshkon,Motion Recruitment,40,40,1.0
kaggle_arshkon,Tata Consultancy Services,39,39,1.0
kaggle_arshkon,Amazon,31,31,1.0
kaggle_arshkon,Open Systems Technologies,31,31,1.0
kaggle_arshkon,Fidelity Investments,29,29,1.0
kaggle_arshkon,Compunnel Inc.,26,26,1.0
kaggle_arshkon,Experis,26,26,1.0
kaggle_arshkon,ICE,26,26,1.0
kaggle_arshkon,Akkodis,25,25,1.0
kaggle_arshkon,CodeMonk,25,25,1.0
kaggle_arshkon,Insight Global,25,25,1.0
kaggle_arshkon,Actalent,23,23,1.0
kaggle_arshkon,TEKsystems,23,23,1.0
kaggle_arshkon,Deloitte,22,22,1.0
