label,nmi,n
tech_domain,0.12263268009822119,59972
source,0.030163073299634503,59972
year_period,0.028493877562749736,59972
company_size_bucket_arshkon,0.021149715679561337,4646
text_source,0.012643374754379232,59972
is_aggregator,0.007474938495316644,59972
seniority_3level,0.0030574319661893358,59972
