cluster_id,cluster_name,period2,n
0,AI-oriented (low-orch),2024,144
0,AI-oriented (low-orch),2026,2251
1,Tech-orchestration (non-AI),2024,2034
1,Tech-orchestration (non-AI),2026,5258
2,People-management (mentor-binary + mgmt density),2024,466
2,People-management (mentor-binary + mgmt density),2026,1056
3,Low-profile generic,2024,8468
3,Low-profile generic,2026,7691
4,Strategic-language (stakeholder/roadmap),2024,2553
4,Strategic-language (stakeholder/roadmap),2026,3772
