spec,source,n,mean,median,p25,p75,p95,p99,max
linkedin_all,kaggle_arshkon,4691,3305.6418674056704,2974.0,1534.0,4749.5,7210.0,9156.2,15768.0
linkedin_all,kaggle_asaniczka,18129,3881.4461911853937,3733.0,2288.0,5250.0,7458.199999999997,9513.24000000002,18817.0
linkedin_all,scraped,37152,4935.851394272179,4891.0,3217.0,6466.0,8829.449999999997,10844.0,23658.0
linkedin_no_aggregators,kaggle_arshkon,4261,3358.6421027927718,3030.0,1558.0,4839.0,7275.0,9101.399999999967,13635.0
linkedin_no_aggregators,kaggle_asaniczka,15186,3804.93138416963,3618.0,2176.25,5155.75,7486.5,9568.949999999995,18817.0
linkedin_no_aggregators,scraped,31055,5141.779874416358,5127.0,3543.0,6593.0,8944.0,10947.839999999997,23658.0
