spec,pair,metric,effect_measure,effect_value,ks_statistic,ks_pvalue,n_a,n_b,mean_a,mean_b,median_a,median_b
linkedin_all,kaggle_arshkon__vs__kaggle_asaniczka,description_length,cohens_d,-0.27526029941269475,0.14390166148500233,8.234407414848662e-68,4691,18129,3305.6418674056704,3881.4461911853937,2974.0,3733.0
linkedin_all,kaggle_arshkon__vs__scraped,description_length,cohens_d,-0.704865517361575,0.30247766422260014,0.0,4691,37152,3305.6418674056704,4935.851394272179,2974.0,4891.0
linkedin_all,kaggle_asaniczka__vs__scraped,description_length,cohens_d,-0.46800272703281676,0.2036891029875898,0.0,18129,37152,3881.4461911853937,4935.851394272179,3733.0,4891.0
linkedin_no_aggregators,kaggle_arshkon__vs__kaggle_asaniczka,description_length,cohens_d,-0.21069957263623168,0.11461698763850509,1.567658930174776e-38,4261,15186,3358.6421027927718,3804.93138416963,3030.0,3618.0
linkedin_no_aggregators,kaggle_arshkon__vs__scraped,description_length,cohens_d,-0.7868936110327194,0.33450907424355675,0.0,4261,31055,3358.6421027927718,5141.779874416358,3030.0,5127.0
linkedin_no_aggregators,kaggle_asaniczka__vs__scraped,description_length,cohens_d,-0.600693073478003,0.26263381246906414,0.0,15186,31055,3804.93138416963,5141.779874416358,3618.0,5127.0
