source,period,n,ai_any_share,aggregators
kaggle_arshkon,2024-04,4691,0.02046471967597527,430
kaggle_asaniczka,2024-01,18129,0.013348778200672954,2943
scraped,2026-03,19796,0.16644776722570218,3316
scraped,2026-04,17356,0.17820926480755936,2781
