source,period,seniority_final,metric,n,mean,median,p25,p75
kaggle_arshkon,2024-04,associate,tech_count,15,1.8666666666666667,2.0,0.0,3.0
kaggle_arshkon,2024-04,director,tech_count,13,3.0,3.0,1.0,4.0
kaggle_arshkon,2024-04,entry,tech_count,172,2.36046511627907,2.0,1.0,3.0
kaggle_arshkon,2024-04,mid-senior,tech_count,1992,3.1792168674698793,3.0,1.0,5.0
kaggle_arshkon,2024-04,unknown,tech_count,2366,2.6234150464919694,2.0,1.0,4.0
kaggle_asaniczka,2024-01,associate,tech_count,7,1.8571428571428572,1.0,1.0,2.5
kaggle_asaniczka,2024-01,director,tech_count,46,1.7826086956521738,1.0,0.0,3.0
kaggle_asaniczka,2024-01,entry,tech_count,118,2.6440677966101696,2.0,1.0,4.0
kaggle_asaniczka,2024-01,mid-senior,tech_count,6690,2.847832585949178,2.0,1.0,4.0
kaggle_asaniczka,2024-01,unknown,tech_count,4984,2.3908507223113964,2.0,0.0,4.0
scraped,2026-03,associate,tech_count,11,4.818181818181818,6.0,3.0,6.0
scraped,2026-03,director,tech_count,30,4.1,4.5,1.0,6.0
scraped,2026-03,entry,tech_count,161,2.5031055900621118,2.0,0.0,4.0
scraped,2026-03,mid-senior,tech_count,1411,3.5209071580439404,3.0,1.0,5.0
scraped,2026-03,unknown,tech_count,1334,2.886056971514243,2.0,1.0,4.0
scraped,2026-04,associate,tech_count,11,3.272727272727273,3.0,1.5,4.5
scraped,2026-04,director,tech_count,15,5.066666666666666,4.0,1.0,9.0
scraped,2026-04,entry,tech_count,58,2.3620689655172415,1.0,0.0,4.0
scraped,2026-04,mid-senior,tech_count,819,3.492063492063492,3.0,1.0,5.0
scraped,2026-04,unknown,tech_count,716,2.82122905027933,2.0,1.0,4.0
kaggle_arshkon,2024-04,associate,ai_count,15,0.0,0.0,0.0,0.0
kaggle_arshkon,2024-04,director,ai_count,13,0.0,0.0,0.0,0.0
kaggle_arshkon,2024-04,entry,ai_count,172,0.1511627906976744,0.0,0.0,0.0
kaggle_arshkon,2024-04,mid-senior,ai_count,1992,0.1330321285140562,0.0,0.0,0.0
kaggle_arshkon,2024-04,unknown,ai_count,2366,0.08875739644970414,0.0,0.0,0.0
kaggle_asaniczka,2024-01,associate,ai_count,7,0.2857142857142857,0.0,0.0,0.0
kaggle_asaniczka,2024-01,director,ai_count,46,0.13043478260869565,0.0,0.0,0.0
kaggle_asaniczka,2024-01,entry,ai_count,118,0.1016949152542373,0.0,0.0,0.0
kaggle_asaniczka,2024-01,mid-senior,ai_count,6690,0.07922272047832586,0.0,0.0,0.0
kaggle_asaniczka,2024-01,unknown,ai_count,4984,0.08647672552166934,0.0,0.0,0.0
scraped,2026-03,associate,ai_count,11,0.18181818181818182,0.0,0.0,0.0
scraped,2026-03,director,ai_count,30,0.5333333333333333,0.0,0.0,0.75
scraped,2026-03,entry,ai_count,161,0.4161490683229814,0.0,0.0,0.0
scraped,2026-03,mid-senior,ai_count,1411,0.4223954642097803,0.0,0.0,0.0
scraped,2026-03,unknown,ai_count,1334,0.44677661169415295,0.0,0.0,0.0
scraped,2026-04,associate,ai_count,11,0.0,0.0,0.0,0.0
scraped,2026-04,director,ai_count,15,1.2666666666666666,0.0,0.0,2.5
scraped,2026-04,entry,ai_count,58,0.46551724137931033,0.0,0.0,1.0
scraped,2026-04,mid-senior,ai_count,819,0.44932844932844934,0.0,0.0,0.0
scraped,2026-04,unknown,ai_count,716,0.44972067039106145,0.0,0.0,0.0
kaggle_arshkon,2024-04,associate,soft_skill_count,15,0.3333333333333333,0.0,0.0,0.5
