archetype,archetype_name,n,period_2024_share,period_2026_share,share
11,Requirements / Compliance,13599,0.510184572395029,0.48981542760497093,0.22675581938237843
5,Generic Workflow / Admin,5641,0.23134196064527565,0.7686580393547243,0.0940605615954112
8,Embedded / Firmware,5029,0.4692781865181945,0.5307218134818056,0.08385579937304075
1,Cross-functional / Delivery,4489,0.38182223212296723,0.6181777678770327,0.07485159741212566
12,DevOps / Infra,4092,0.2744379276637341,0.7255620723362659,0.06823184152604549
6,AI / LLM workflows,3955,0.08520859671302149,0.9147914032869785,0.06594744213966518
9,Backend / Data Platform,3351,0.5013428827215757,0.4986571172784244,0.055876075501900886
13,DevOps / Tooling,3285,0.2334855403348554,0.7665144596651446,0.05477556192890015
3,Frontend / Web,3141,0.5033428844317096,0.49665711556829034,0.052374441405989465
2,Backend / API,2960,0.1847972972972973,0.8152027027027027,0.049356366304275326
0,Requirements / Boilerplate,2856,0.5798319327731093,0.42016806722689076,0.04762222370439539
4,Frontend / Angular,2470,0.4109311740890688,0.5890688259109311,0.04118588674714867
14,Embedded / Systems,2176,0.37224264705882354,0.6277573529411765,0.036283599012872675
10,Data Engineering / ETL,1897,0.3379019504480759,0.6620980495519241,0.03163142799973321
7,Mobile / iOS,1031,0.3355965082444229,0.6644034917555771,0.01719135596611752
