scrape_date,n,swe_n,text_labeled_n,ai_tool_share,scope_any_share,analysis_text_median_len,raw_desc_median_len,tech_count_median,entry_final_share,yoe_le2_share,posting_age_median,posting_age_p25,posting_age_p75,age_le7_share,age_ge30_share,dayofweek
2026-03-20,2454,2454,332,0.21987951807228914,0.0,2437.0,4806.0,5.0,0.03341483292583537,0.1104319478402608,1.0,1.0,1.0,0.016707416462917686,0.0,4
2026-03-21,1166,1166,329,0.20364741641337386,0.0,2452.0,4901.5,4.0,0.04888507718696398,0.1234991423670669,1.0,1.0,1.0,0.002572898799313894,0.0,5
2026-03-22,948,948,331,0.2175226586102719,0.0,2581.0,5436.0,5.0,0.03691983122362869,0.11919831223628692,1.0,1.0,1.0,0.013713080168776372,0.0,6
2026-03-23,614,614,331,0.229607250755287,0.0,2379.0,5080.0,4.0,0.08794788273615635,0.11726384364820847,1.0,1.0,1.0,0.004885993485342019,0.0,0
2026-03-24,2164,2164,332,0.21987951807228914,0.0,2320.0,4478.0,5.0,0.03650646950092421,0.10859519408502773,1.0,1.0,1.0,0.0046210720887245845,0.0,1
2026-03-25,2311,2311,329,0.21580547112462006,0.0,2470.5,4733.0,5.0,0.028126352228472522,0.12548680225010816,1.0,1.0,1.0,0.0038944180008654264,0.0,2
2026-03-26,2253,2253,333,0.1981981981981982,0.0,2555.0,4834.0,5.0,0.02796271637816245,0.1216156236129605,1.0,1.0,1.0,0.007989347536617843,0.0,3
2026-03-27,2197,2197,333,0.1921921921921922,0.0,2514.5,4913.0,5.0,0.02639963586709149,0.1133363677742376,1.0,1.0,1.0,0.008192990441511151,0.0,4
2026-03-28,1966,1966,333,0.2072072072072072,0.0,2501.0,4913.5,5.0,0.025940996948118005,0.12156663275686673,1.0,1.0,1.0,0.005595116988809766,0.0,5
2026-03-29,825,825,333,0.21021021021021022,0.0,2688.5,5574.0,5.0,0.03878787878787879,0.14181818181818182,1.0,1.0,1.0,0.01818181818181818,0.0,6
2026-03-30,782,782,332,0.1566265060240964,0.0,2578.0,6110.5,5.0,0.04731457800511509,0.09846547314578005,1.0,1.0,1.0,0.0025575447570332483,0.0,0
2026-03-31,2116,2116,331,0.18731117824773413,0.0,2389.0,4778.0,5.0,0.024102079395085067,0.11483931947069943,1.0,1.0,1.0,0.002835538752362949,0.0,1
2026-04-01,2465,2465,331,0.22356495468277945,0.0,2591.0,4809.0,5.0,0.017038539553752535,0.12535496957403652,1.0,1.0,1.0,0.01947261663286004,0.0,2
2026-04-02,1448,1448,330,0.2,0.0,2493.0,5059.5,5.0,0.023480662983425413,0.1180939226519337,1.0,1.0,1.0,0.004143646408839779,0.0,3
2026-04-03,2141,2141,330,0.18787878787878787,0.0,2528.0,4862.0,5.0,0.017748715553479684,0.1120971508640822,1.0,1.0,1.0,0.008874357776739842,0.0,4
2026-04-04,1988,1988,325,0.2246153846153846,0.0,2524.0,4970.5,5.0,0.028672032193158954,0.1141851106639839,1.0,1.0,1.0,0.005533199195171026,0.0,5
2026-04-05,889,889,332,0.1716867469879518,0.0,2568.0,5654.0,5.0,0.0281214848143982,0.1046119235095613,1.0,1.0,1.0,0.006749156355455568,0.0,6
2026-04-06,474,474,326,0.18098159509202455,0.0,2413.0,5221.0,4.0,0.04008438818565401,0.09282700421940929,1.0,1.0,1.0,0.008438818565400843,0.0,0
2026-04-07,1617,1617,3,0.6666666666666666,0.0,3662.0,4288.0,6.0,0.022881880024737167,0.10760667903525047,1.0,1.0,1.0,0.0030921459492888066,0.0,1
2026-04-08,2075,2075,4,0.25,0.0,2234.0,4613.0,7.0,0.018313253012048194,0.10987951807228916,1.0,1.0,1.0,0.005783132530120482,0.0,2
2026-04-09,2183,2183,3,0.6666666666666666,0.0,2375.0,4947.0,10.0,0.021988089784699953,0.12688960146587266,1.0,1.0,1.0,0.010535959688502062,0.0,3
2026-04-10,2076,2076,3,0.0,0.0,3768.0,4722.0,10.0,0.019267822736030827,0.11560693641618497,1.0,1.0,1.0,0.009152215799614644,0.0,4
