source,n,min_date_posted,max_date_posted,n_posted_days,min_scrape_date,max_scrape_date,n_scrape_days,text_labeled_n,text_labeled_share,entry_final_share,yoe_le2_share,yoe_le3_share,native_entry_share,raw_desc_median_len,raw_desc_mean_len,analysis_text_median_len,analysis_text_mean_len,ai_tool_share,scope_any_share,tech_count_mean,tech_count_median,soft_skill_count_mean,scope_count_mean,mgmt_strong_count_mean,education_flag_mean,requirement_breadth_mean,credential_stack_depth_mean
kaggle_arshkon,4691,2024-04-05,2024-04-20,12,,,0,4679,0.9974419100405031,0.03730547857599659,0.09294393519505435,0.19334896610530802,0.1573225325090599,2974.0,3305.6418674056704,1829.0,1966.1748281786943,0.025646505663603335,0.0,4.953836289805514,4.0,0.0,0.0,0.0,0.3370378285958538,5.937593502885232,1.84676212865997
kaggle_asaniczka,18129,2024-01-12,2024-01-17,6,,,0,15574,0.8590655855259529,0.008715317998786474,0.0733631198632026,0.17254123227977275,0.0,3733.0,3881.4461911853937,2131.0,2302.155685543485,0.018042891999486322,0.0,4.669449081803005,4.0,0.0,0.0,0.0,0.4698214973674072,5.869847181199435,2.0100809040708874
scraped,37152,2026-03-19,2026-04-09,22,2026-03-20,2026-04-10,22,5966,0.160583548664944,0.02804694229112834,0.11646748492678725,0.2290859173126615,0.11455641688199827,4891.0,4935.851394272179,2505.0,2644.4957926624033,0.20298357358364064,0.0,5.704156889037882,5.0,0.0,0.0,0.0,0.37965135769359704,6.977539389875964,2.167113643982568
