scrape_day,n,ai_strict,ai_broad,J2_share,S1_share,desc_len,tech_count,requirement_breadth,dow
2026-03-20,2448,0.13766339869281047,0.4877450980392157,0.035130718954248366,0.4170751633986928,4871.8709150326795,6.145016339869281,11.91421568627451,Friday
2026-03-21,1164,0.11769759450171821,0.5008591065292096,0.05756013745704467,0.43470790378006874,5062.17439862543,6.073883161512027,11.792955326460481,Saturday
2026-03-22,945,0.1544973544973545,0.5851851851851851,0.047619047619047616,0.5365079365079365,5440.860317460318,6.073015873015873,12.342857142857143,Sunday
2026-03-23,613,0.1500815660685155,0.5595432300163132,0.11092985318107668,0.47471451876019577,5100.1712887438825,5.190864600326265,10.942903752039152,Monday
2026-03-24,2161,0.10828320222119389,0.46830171217029154,0.04118463674224896,0.4178621008792226,4563.836186950486,6.058306339657566,11.585377140212865,Tuesday
2026-03-25,2311,0.14236261358719168,0.5062743401125054,0.03202077022933795,0.4071830376460407,4793.702726092601,6.066637819125919,11.71960190393769,Wednesday
2026-03-26,2252,0.14431616341030196,0.5035523978685613,0.02886323268206039,0.42362344582593253,4938.406305506217,6.450266429840142,12.260657193605685,Thursday
2026-03-27,2197,0.13609467455621302,0.49476558944014565,0.030040964952207556,0.4110150204824761,4974.927173418298,6.209831588529814,11.95402822030041,Friday
2026-03-28,1964,0.14052953156822812,0.5244399185336049,0.029022403258655804,0.420061099796334,5006.532586558044,6.153258655804481,12.024949083503055,Saturday
2026-03-29,825,0.14181818181818182,0.5636363636363636,0.041212121212121214,0.536969696969697,5653.933333333333,6.16,12.48121212121212,Sunday
2026-03-30,782,0.09846547314578005,0.4744245524296675,0.056265984654731455,0.5294117647058824,6065.1841432225065,5.326086956521739,11.29156010230179,Monday
2026-03-31,2115,0.13569739952718676,0.5101654846335697,0.025059101654846337,0.4236406619385343,4784.5394799054375,6.3371158392434985,12.059101654846335,Tuesday
2026-04-01,2465,0.1614604462474645,0.4900608519269777,0.021095334685598377,0.4117647058823529,4870.58215010142,6.221906693711968,11.966734279918864,Wednesday
2026-04-02,1448,0.15193370165745856,0.5407458563535912,0.027624309392265192,0.45234806629834257,5041.2209944751385,6.294889502762431,12.160911602209945,Thursday
2026-04-03,2140,0.14065420560747663,0.5079439252336448,0.02102803738317757,0.45093457943925236,4887.314485981308,6.071495327102804,11.868224299065421,Friday
2026-04-04,1987,0.13437342727730248,0.5042778057372924,0.03220936084549572,0.41016607951685957,4977.3784599899345,6.1258178158027174,11.73980875691998,Saturday
2026-04-05,888,0.11824324324324324,0.5619369369369369,0.02927927927927928,0.5416666666666666,5684.806306306306,5.7657657657657655,12.135135135135135,Sunday
2026-04-06,474,0.14345991561181434,0.580168776371308,0.056962025316455694,0.580168776371308,5239.537974683544,5.6455696202531644,12.084388185654008,Monday
2026-04-07,1617,0.14038342609771182,0.4743351886209029,0.03153988868274583,0.39579468150896724,4399.597402597403,6.089053803339517,11.523191094619666,Tuesday
2026-04-08,2074,0.14320154291224688,0.5202507232401157,0.024108003857280617,0.44214079074252655,4719.620057859209,5.8944069431051105,11.467695274831245,Wednesday
2026-04-09,2182,0.1851512373968836,0.532538955087076,0.025664527956003668,0.4440879926672777,4840.871219065078,6.445462878093492,12.124656278643446,Thursday
2026-04-10,2059,0.1515298688683827,0.5381253035454104,0.028654686741136474,0.4239922292374939,4866.203496843128,6.272948033025741,11.925692083535697,Friday
2026-04-11,1450,0.17379310344827587,0.5137931034482759,0.029655172413793104,0.4089655172413793,4854.703448275862,6.455172413793103,12.04,Saturday
2026-04-12,410,0.17317073170731706,0.6170731707317073,0.012195121951219513,0.5170731707317073,4833.885365853658,6.185365853658537,12.314634146341463,Sunday
2026-04-13,310,0.13225806451612904,0.4838709677419355,0.06451612903225806,0.45161290322580644,5260.358064516129,5.180645161290323,10.67741935483871,Monday
2026-04-14,1600,0.16375,0.47375,0.025625,0.349375,4404.2825,6.201875,11.569375,Tuesday
