metric,arshkon,asaniczka,scraped_2026-03,scraped_2026-04,within_2024_delta,within_2024_days,within_2024_annualized,cross_period_delta,cross_period_days,cross_period_annualized,acceleration_ratio
J2_share,0.04050309102536773,0.012576534833691875,0.037821712089801285,0.027435557240333586,0.027926556191675854,89,0.11460870392145625,0.0060888217355376355,762,0.002918559237408296,0.025465423982182416
S1_share,0.44276273715625664,0.6353356500634343,0.4350508166051474,0.4316243366186505,-0.19257291290717765,89,-0.7903062521274903,-0.10571161699794651,762,-0.05067082428937003,0.06411542886439918
J1_share,0.03730547857599659,0.01125268906172431,0.036456489861960865,0.02625094768764215,0.026052789514272277,89,0.106918891798741,0.007074634955941062,762,0.0033910897869520646,0.031716469651923526
ai_strict,0.01385632061394159,0.009818522808759446,0.13429741619052435,0.15281463229719486,0.004037797805182144,89,0.016570849981379532,0.13171860253250908,762,0.06313677109579914,3.8101105958200807
ai_broad,0.16115966744830526,0.14595399635942413,0.5066997016736613,0.515352539802881,0.015205671088881129,89,0.062403049047346434,0.35746928883440643,762,0.1713460075416889,2.7457954404068508
desc_len_raw_median,2974.0,3733.0,4920.0,4803.0,-759.0,89,-3114.8848314606744,1508.0,762,722.8307086614174,-0.23205696125928924
desc_len_cleaned_median,1823.0,2130.0,2461.0,2452.0,-307.0,89,-1259.9073033707866,480.0,762,230.07874015748033,-0.1826156095308933
tech_count_median,4.0,4.0,5.0,5.0,0.0,89,0.0,1.0,762,0.47933070866141736,
org_scope_density_median,1.0,1.0,2.0,2.0,0.0,89,0.0,1.0,762,0.47933070866141736,
ai_tech_count_median,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,762,0.0,
