ds,n,ai_strict,ai_broad
2024-01-15,18129,0.009818522808759446,0.14595399635942413
2024-04-12,4691,0.01385632061394159,0.16115966744830526
2026-03-20,2448,0.13766339869281047,0.4877450980392157
2026-03-21,1164,0.11769759450171821,0.5008591065292096
2026-03-22,945,0.1544973544973545,0.5851851851851851
2026-03-23,613,0.1500815660685155,0.5595432300163132
2026-03-24,2161,0.10828320222119389,0.46830171217029154
2026-03-25,2311,0.14236261358719168,0.5062743401125054
2026-03-26,2252,0.14431616341030196,0.5035523978685613
2026-03-27,2197,0.13609467455621302,0.49476558944014565
2026-03-28,1964,0.14052953156822812,0.5244399185336049
2026-03-29,825,0.14181818181818182,0.5636363636363636
2026-03-30,782,0.09846547314578005,0.4744245524296675
2026-03-31,2115,0.13569739952718676,0.5101654846335697
2026-04-01,2465,0.1614604462474645,0.4900608519269777
2026-04-02,1448,0.15193370165745856,0.5407458563535912
2026-04-03,2140,0.14065420560747663,0.5079439252336448
2026-04-04,1987,0.13437342727730248,0.5042778057372924
2026-04-05,888,0.11824324324324324,0.5619369369369369
2026-04-06,474,0.14345991561181434,0.580168776371308
2026-04-07,1617,0.14038342609771182,0.4743351886209029
2026-04-08,2074,0.14320154291224688,0.5202507232401157
2026-04-09,2182,0.1851512373968836,0.532538955087076
2026-04-10,2059,0.1515298688683827,0.5381253035454104
2026-04-11,1450,0.17379310344827587,0.5137931034482759
2026-04-12,410,0.17317073170731706,0.6170731707317073
2026-04-13,310,0.13225806451612904,0.4838709677419355
2026-04-14,1600,0.16375,0.47375
