source,period,window_label,swe_sample_n,adjacent_sample_n,tfidf_centroid_cosine
kaggle_arshkon,2024-04,kaggle_arshkon / 2024-04,200,200,0.8010809445660311
kaggle_asaniczka,2024-01,kaggle_asaniczka / 2024-01,200,200,0.8264988752452447
scraped,2026-03,scraped / 2026-03,200,200,0.8236359274268533
scraped,2026-04,scraped / 2026-04,200,200,0.8186295142314396
