source,metric,value,n_junior,n_senior,representation
kaggle_asaniczka,yoe_junior_senior_similarity,0.9959626793861389,1166,14408,embedding
kaggle_arshkon,yoe_junior_senior_similarity,0.9895938634872437,435,4244,embedding
scraped,yoe_junior_senior_similarity,0.9906120300292969,696,5270,embedding
kaggle_asaniczka,yoe_junior_senior_similarity,0.9699385166168213,1166,14408,tfidf
kaggle_arshkon,yoe_junior_senior_similarity,0.9463726282119751,435,4244,tfidf
scraped,yoe_junior_senior_similarity,0.9528598189353943,696,5270,tfidf
