representation,query_uid,query_period,neighbor_uid,neighbor_source,neighbor_period,neighbor_seniority_3level,rank,cosine_distance,cosine_similarity
tfidf,linkedin_li-4173823940,2026-03,asaniczka_58d9b27e21b0f1bc,kaggle_asaniczka,2024-01,senior,1,0.2677081470163266,0.7322918529836734
tfidf,linkedin_li-4173823940,2026-03,arshkon_3902869112,kaggle_arshkon,2024-04,senior,2,0.3003421646993014,0.6996578353006986
tfidf,linkedin_li-4173823940,2026-03,arshkon_3901965465,kaggle_arshkon,2024-04,senior,3,0.31357628519999414,0.6864237148000059
tfidf,linkedin_li-4173823940,2026-03,arshkon_3905876235,kaggle_arshkon,2024-04,senior,4,0.31776644373251794,0.682233556267482
tfidf,linkedin_li-4173823940,2026-03,asaniczka_287f9fae7f705512,kaggle_asaniczka,2024-01,senior,5,0.3289633687348733,0.6710366312651267
tfidf,linkedin_li-4238849288,2026-04,asaniczka_774fcafbea799fbf,kaggle_asaniczka,2024-01,unknown,1,0.20141139872561198,0.798588601274388
tfidf,linkedin_li-4238849288,2026-04,arshkon_3903812214,kaggle_arshkon,2024-04,senior,2,0.2318821441734501,0.7681178558265499
tfidf,linkedin_li-4238849288,2026-04,asaniczka_be9daf13a0a002fe,kaggle_asaniczka,2024-01,senior,3,0.2578906544634759,0.7421093455365241
tfidf,linkedin_li-4238849288,2026-04,asaniczka_608d975629683a2f,kaggle_asaniczka,2024-01,unknown,4,0.2693486570943253,0.7306513429056747
tfidf,linkedin_li-4238849288,2026-04,asaniczka_1cbed7f88bd2811b,kaggle_asaniczka,2024-01,unknown,5,0.2693486570943253,0.7306513429056747
tfidf,linkedin_li-4262545420,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,1,0.2634767809653811,0.7365232190346189
tfidf,linkedin_li-4262545420,2026-03,arshkon_3904389721,kaggle_arshkon,2024-04,senior,2,0.2691367316911002,0.7308632683088998
tfidf,linkedin_li-4262545420,2026-03,asaniczka_284ac545b15bf8fd,kaggle_asaniczka,2024-01,unknown,3,0.306921039594682,0.693078960405318
tfidf,linkedin_li-4262545420,2026-03,arshkon_3904966390,kaggle_arshkon,2024-04,senior,4,0.31428446998084825,0.6857155300191518
tfidf,linkedin_li-4262545420,2026-03,asaniczka_d08ea7531975b9e7,kaggle_asaniczka,2024-01,unknown,5,0.31556731641117175,0.6844326835888283
tfidf,linkedin_li-4262546412,2026-03,asaniczka_d20cf8d562d347e0,kaggle_asaniczka,2024-01,unknown,1,0.19719741222475917,0.8028025877752408
tfidf,linkedin_li-4262546412,2026-03,asaniczka_32a96677c06459c9,kaggle_asaniczka,2024-01,unknown,2,0.25852244719059203,0.741477552809408
tfidf,linkedin_li-4262546412,2026-03,asaniczka_64e2533ee950ffa3,kaggle_asaniczka,2024-01,unknown,3,0.29336765021959066,0.7066323497804093
tfidf,linkedin_li-4262546412,2026-03,asaniczka_b95708ceceb6a8cd,kaggle_asaniczka,2024-01,unknown,4,0.32749203988735753,0.6725079601126425
tfidf,linkedin_li-4262546412,2026-03,asaniczka_3aebd1b97b11b2ae,kaggle_asaniczka,2024-01,unknown,5,0.32749203988735753,0.6725079601126425
tfidf,linkedin_li-4273281553,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.20323578482696547,0.7967642151730345
tfidf,linkedin_li-4273281553,2026-03,arshkon_3889451782,kaggle_arshkon,2024-04,unknown,2,0.23058480080524735,0.7694151991947527
tfidf,linkedin_li-4273281553,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,3,0.23796153047566326,0.7620384695243367
tfidf,linkedin_li-4273281553,2026-03,asaniczka_9f8c3df00cdd053a,kaggle_asaniczka,2024-01,unknown,4,0.2597872075124711,0.7402127924875289
tfidf,linkedin_li-4273281553,2026-03,asaniczka_9acc401855dc69c0,kaggle_asaniczka,2024-01,unknown,5,0.2827286741398125,0.7172713258601875
tfidf,linkedin_li-4273518055,2026-03,asaniczka_cc00ab3d190e9613,kaggle_asaniczka,2024-01,senior,1,0.36814347500726397,0.631856524992736
tfidf,linkedin_li-4273518055,2026-03,asaniczka_3dcaa4bd58fcc66e,kaggle_asaniczka,2024-01,senior,2,0.38093164090012266,0.6190683590998773
