source,period,seniority_3level,n,n_yoe_junior,n_unknown
kaggle_arshkon,2024-04,junior,175,51,0
kaggle_arshkon,2024-04,mid,15,7,0
kaggle_arshkon,2024-04,senior,2072,90,0
kaggle_arshkon,2024-04,unknown,2417,287,2417
kaggle_asaniczka,2024-01,junior,149,45,0
kaggle_asaniczka,2024-01,mid,8,4,0
kaggle_asaniczka,2024-01,senior,9264,478,0
kaggle_asaniczka,2024-01,unknown,6153,639,6153
scraped,2026-03,junior,223,41,0
scraped,2026-03,mid,15,3,0
scraped,2026-03,senior,1927,123,0
scraped,2026-03,unknown,1814,316,1814
scraped,2026-04,junior,62,7,0
scraped,2026-04,mid,13,3,0
scraped,2026-04,senior,1026,68,0
scraped,2026-04,unknown,886,135,886
