source,metric,value,n_junior,n_senior,representation
kaggle_asaniczka,junior_senior_similarity_no_agg,0.9784113764762878,141,7578,embedding
kaggle_arshkon,junior_senior_similarity_no_agg,0.9631934762001038,164,1911,embedding
scraped,junior_senior_similarity_no_agg,0.9596415758132935,234,2552,embedding
kaggle_asaniczka,junior_senior_similarity_no_agg,0.9359363913536072,141,7578,tfidf
kaggle_arshkon,junior_senior_similarity_no_agg,0.9099606871604919,164,1911,tfidf
scraped,junior_senior_similarity_no_agg,0.8651819825172424,234,2552,tfidf
