source,metric,value,representation
kaggle_asaniczka,junior_senior_similarity,0.9801443219184875,embedding
kaggle_asaniczka,junior_mid_similarity,0.8928118348121643,embedding
kaggle_asaniczka,mid_senior_similarity,0.8695449233055115,embedding
kaggle_arshkon,junior_senior_similarity,0.9649255871772766,embedding
kaggle_arshkon,junior_mid_similarity,0.9314351677894592,embedding
kaggle_arshkon,mid_senior_similarity,0.9398396611213684,embedding
scraped,junior_senior_similarity,0.9618291854858398,embedding
scraped,junior_mid_similarity,0.9377753138542175,embedding
scraped,mid_senior_similarity,0.9652090072631836,embedding
kaggle_asaniczka,junior_senior_similarity,0.9383248686790466,tfidf
kaggle_asaniczka,junior_mid_similarity,0.7663102149963379,tfidf
kaggle_asaniczka,mid_senior_similarity,0.7640818953514099,tfidf
kaggle_arshkon,junior_senior_similarity,0.9186059832572937,tfidf
kaggle_arshkon,junior_mid_similarity,0.8224223256111145,tfidf
kaggle_arshkon,mid_senior_similarity,0.8023277521133423,tfidf
scraped,junior_senior_similarity,0.8676100373268127,tfidf
scraped,junior_mid_similarity,0.8344823122024536,tfidf
scraped,mid_senior_similarity,0.849485456943512,tfidf
