period,seniority_3level,n_total,n_sampled
2024,junior,373,373
2024,mid,39,39
2024,senior,12822,2000
2024,unknown,8409,2000
2026,junior,601,601
2026,mid,51,51
2026,senior,6164,2000
2026,unknown,5640,2000
