row_idx,uid,text_source,period,seniority_final,seniority_3level,is_aggregator,company_name_canonical,source,swe_classification_tier,yoe_extracted,period_bucket,emb_row,group,src_group,umap_x,umap_y,pca_x,pca_y
32562,linkedin_li-4398024326,llm,2026-04,mid-senior,senior,True,Harnham,scraped,regex,6.0,2026,32562,2026 / senior,scraped|senior,9.761495,6.6489387,-0.46199358,-0.12665576
3371,arshkon_3904362618,llm,2024-04,mid-senior,senior,False,Clarivate,kaggle_arshkon,regex,5.0,2024,3371,2024 / senior,kaggle_arshkon|senior,7.8907332,8.740252,-0.025641337,-0.07415117
31721,linkedin_li-4396329756,llm,2026-04,mid-senior,senior,True,Tata Consultancy Services,scraped,regex,,2026,31721,2026 / senior,scraped|senior,11.58053,7.042986,-0.14960326,-0.34677255
2776,arshkon_3902832707,llm,2024-04,entry,junior,False,Astrix,kaggle_arshkon,regex,2.0,2024,2776,2024 / junior,kaggle_arshkon|junior,4.9618745,9.210328,0.27215642,-0.036823764
31985,linkedin_li-4397193638,llm,2026-04,entry,junior,False,Robinhood,scraped,regex,,2026,31985,2026 / junior,scraped|junior,9.211511,9.438225,-0.07621731,-0.29636276
28234,linkedin_li-4389901606,llm,2026-03,mid-senior,senior,False,L3Harris Technologies,scraped,regex,6.0,2026,28234,2026 / senior,scraped|senior,3.14759,7.598227,0.33627218,0.041334257
33885,linkedin_li-4400966510,llm,2026-04,unknown,unknown,False,Alignerr,scraped,regex,3.0,2026,33885,2026 / unknown,scraped|unknown,10.86218,7.036688,-0.07844165,-0.31621814
29051,linkedin_li-4391541654,llm,2026-03,unknown,unknown,False,General Dynamics Information Technology,scraped,regex,10.0,2026,29051,2026 / unknown,scraped|unknown,7.393321,6.1222615,-0.10879211,0.13935666
58,arshkon_3884434318,llm,2024-04,unknown,unknown,False,World Wide Technology,kaggle_arshkon,title_lookup_llm,6.0,2024,58,2024 / unknown,kaggle_arshkon|unknown,6.607863,4.6241045,-0.03676945,0.17565887
9883,asaniczka_1a86f6c9ebd1daf5,llm,2024-01,mid-senior,senior,False,Taskrabbit,kaggle_asaniczka,regex,5.0,2024,9883,2024 / senior,kaggle_asaniczka|senior,8.750066,7.422339,-0.20052777,-0.0359603
24693,linkedin_li-4374326342,llm,2026-04,mid-senior,senior,False,"Solera Holdings, LLC.",scraped,regex,10.0,2026,24693,2026 / senior,scraped|senior,8.624683,10.234307,-0.12731065,-0.06035906
24554,linkedin_li-4372752807,llm,2026-03,unknown,unknown,False,Homebase,scraped,regex,,2026,24554,2026 / unknown,scraped|unknown,11.018603,6.7014904,-0.15551376,-0.112988696
22402,linkedin_li-4320445282,llm,2026-04,mid-senior,senior,False,Qualcomm,scraped,regex,,2026,22402,2026 / senior,scraped|senior,7.9617343,3.9352174,-0.37155473,0.2976079
29290,linkedin_li-4391680668,llm,2026-03,unknown,unknown,False,24-MAG,scraped,regex,,2026,29290,2026 / unknown,scraped|unknown,7.535187,3.7449362,-0.1422357,0.21732025
25924,linkedin_li-4383227805,llm,2026-04,mid-senior,senior,False,Google,scraped,regex,1.0,2026,25924,2026 / senior,scraped|senior,6.5439363,9.660605,0.32287127,-0.029012367
27437,linkedin_li-4388658640,llm,2026-03,unknown,unknown,True,Tata Consultancy Services,scraped,regex,,2026,27437,2026 / unknown,scraped|unknown,11.053091,6.4931693,-0.26200902,-0.2577495
20948,asaniczka_ee80287279ea4a0d,llm,2024-01,unknown,unknown,False,"Sunrise Systems, Inc.",kaggle_asaniczka,title_lookup_llm,2.0,2024,20948,2024 / unknown,kaggle_asaniczka|unknown,6.983199,6.4336777,-0.104060635,0.0292169
33368,linkedin_li-4399559966,llm,2026-04,mid-senior,senior,False,MetroStar,scraped,regex,7.0,2026,33368,2026 / senior,scraped|senior,6.718558,5.050749,-0.08641188,0.27010447
26327,linkedin_li-4385757667,llm,2026-03,unknown,unknown,False,Synechron,scraped,regex,,2026,26327,2026 / unknown,scraped|unknown,8.190781,6.87379,-0.04542765,-0.080586314
30636,linkedin_li-4393981650,llm,2026-04,mid-senior,senior,False,Salesforce,scraped,regex,8.0,2026,30636,2026 / senior,scraped|senior,10.744962,5.835653,-0.29948986,-0.025855199
23977,linkedin_li-4366658798,llm,2026-04,mid-senior,senior,False,Resideo,scraped,regex,,2026,23977,2026 / senior,scraped|senior,8.536316,5.821694,-0.33898824,0.00019328296
24086,linkedin_li-4367939251,llm,2026-04,mid-senior,senior,False,Capital One,scraped,regex,5.0,2026,24086,2026 / senior,scraped|senior,11.190406,3.6072736,-0.38447577,0.034369394
29187,linkedin_li-4391660788,llm,2026-03,mid-senior,senior,True,Jobs via Dice,scraped,regex,,2026,29187,2026 / senior,scraped|senior,7.5926814,5.8383584,-0.2573005,0.20408599
10517,asaniczka_4256b4b31cf53edf,llm,2024-01,mid-senior,senior,False,"Verticalmove, Inc",kaggle_asaniczka,title_lookup_llm,,2024,10517,2024 / senior,kaggle_asaniczka|senior,6.464561,4.8514028,-0.030899689,0.14540984
1012,arshkon_3894549547,llm,2024-04,unknown,unknown,True,Tata Consultancy Services,kaggle_arshkon,title_lookup_llm,10.0,2024,1012,2024 / unknown,kaggle_arshkon|unknown,10.251698,3.6366365,-0.2523963,-0.14196286
