period,seniority_3level,rank_outlier,sim_to_centroid,uid,company_name_canonical
2024,junior,1,0.19740331172943115,asaniczka_148ff196086f2ec3,Accroid Inc
2024,junior,2,0.22002319991588593,asaniczka_cfa3d71a8aafbb60,ClickJobs.io
2024,junior,3,0.2805327773094177,asaniczka_f020847a9ef75376,Renesas Electronics
2024,junior,4,0.281791627407074,asaniczka_7305dfb0b35822ae,Captivation
2024,junior,5,0.30591660737991333,asaniczka_ebb1394a2ffbff2f,"Liberty Personnel Services, Inc."
2024,junior,6,0.31529831886291504,asaniczka_e931649500dc1a38,Kforce Inc
2024,junior,7,0.3195107579231262,asaniczka_b13a0579644dda57,Latitude Inc
2024,junior,8,0.3195107579231262,asaniczka_d1d28556dad286b2,Latitude Inc
2024,junior,9,0.32245349884033203,asaniczka_5157ef33f8fbba32,Intellectt Inc
2024,junior,10,0.33664584159851074,asaniczka_08afe5a3fa4e8c09,HCLTech
2024,junior,11,0.34697359800338745,asaniczka_842fd62430999d38,Innovation Works
2024,junior,12,0.3469960689544678,arshkon_3902765105,Amazon
2024,junior,13,0.3469960689544678,arshkon_3902765108,Amazon
2024,junior,14,0.3469960689544678,arshkon_3902761493,Amazon
2024,junior,15,0.3469960689544678,arshkon_3902762474,Amazon
2024,junior,16,0.349953830242157,asaniczka_ee6642c619ac43d8,TekIntegral
2024,junior,17,0.36195796728134155,asaniczka_9533f25e610b917e,"The Dignify Solutions, LLC"
2024,junior,18,0.3698224425315857,asaniczka_88844bff61de9242,Intellectt Inc
2024,junior,19,0.38615453243255615,arshkon_3902360675,USCTEK - Recruiting & Staffing
2024,junior,20,0.38615453243255615,arshkon_3902361393,USCTEK - Recruiting & Staffing
2024,senior,1,0.038472965359687805,asaniczka_94576b3023bc9ef6,Ekodus
2024,senior,2,0.05241583287715912,asaniczka_6c0ce79770497ae2,Visionyle Solutions
2024,senior,3,0.06010180339217186,arshkon_3904513113,Open Systems Technologies
2024,senior,4,0.07408523559570312,asaniczka_47ea35dfc5aef5f4,Virtual Labs Inc.
2024,senior,5,0.09176827222108841,asaniczka_b0e7bc86caca4169,Visionyle Solutions
2024,senior,6,0.1428046077489853,asaniczka_bf04c5dbee15ec22,Keylent Inc
2024,senior,7,0.1487603783607483,asaniczka_69a2222005c51af0,Tech Mahindra
2024,senior,8,0.1785661280155182,asaniczka_9d7b83b2473df308,Keylent Inc
2024,senior,9,0.17992880940437317,arshkon_3899540634,Sibitalent Corp
2024,senior,10,0.19303208589553833,asaniczka_979e4c7c024a39ce,OSO Ventures Inc
2024,senior,11,0.19442757964134216,arshkon_3905237899,Zelante Technologies
2024,senior,12,0.21334415674209595,asaniczka_e953b3b3848d350d,Intellectt Inc
2024,senior,13,0.21512985229492188,asaniczka_a2ab38b4790268da,Teledyne FLIR
2024,senior,14,0.21691931784152985,asaniczka_a47fe28272299f60,Hermitage Infotech
2024,senior,15,0.22126060724258423,asaniczka_007d949ab5ae67f3,Recruiting from Scratch
2024,senior,16,0.2333763837814331,asaniczka_4abdb90c043c6433,Diverse Lynx
2024,senior,17,0.2377040982246399,arshkon_3901938473,"Method360, Inc."
2024,senior,18,0.240826815366745,asaniczka_2a62d96de7e282af,MW Partners
2024,senior,19,0.24642127752304077,asaniczka_df805fdd898e8e75,"Liberty Personnel Services, Inc."
2024,senior,20,0.2594034671783447,arshkon_3840166122,"Tanisha Systems, Inc"
2026,junior,1,0.23650717735290527,linkedin_li-4391637385,Arena
2026,junior,2,0.2581564784049988,linkedin_li-4377975350,Cadence
2026,junior,3,0.33254626393318176,linkedin_li-4375342566,TikTok
2026,junior,4,0.3329266905784607,linkedin_li-4321058077,Epic
2026,junior,5,0.35228538513183594,linkedin_li-4326503615,Electric Power Engineers
2026,junior,6,0.3567723035812378,linkedin_li-4394743281,Addison Group
2026,junior,7,0.36110931634902954,linkedin_li-4393221142,Motion Recruitment
2026,junior,8,0.36433354020118713,linkedin_li-4286413076,TikTok
2026,junior,9,0.36841097474098206,linkedin_li-4387545179,AaraTechnologies Inc
2026,junior,10,0.37571337819099426,linkedin_li-4394993551,Addison Group
2026,junior,11,0.3795335292816162,linkedin_li-4372006065,Sulzer
2026,junior,12,0.3832026422023773,linkedin_li-4389449744,Spectrum
2026,junior,13,0.3916516900062561,linkedin_li-4287366442,TikTok
2026,junior,14,0.3958180546760559,linkedin_li-4390113639,Hitachi Energy
2026,junior,15,0.40086328983306885,linkedin_li-4364113358,Bose Corporation
2026,junior,16,0.40566515922546387,linkedin_li-4360007303,Nuro
2026,junior,17,0.4075648784637451,linkedin_li-4390708112,Jobs via Dice
2026,junior,18,0.4099697172641754,linkedin_li-4339085481,ByteDance
2026,junior,19,0.41763484477996826,linkedin_li-4388991705,Cadence
2026,junior,20,0.41765379905700684,linkedin_li-4299905975,TikTok
2026,senior,1,0.12409251183271408,linkedin_li-4394999690,Vast
2026,senior,2,0.1805076152086258,linkedin_li-4397681782,Robert Half
2026,senior,3,0.19492864608764648,linkedin_li-4334310718,General Motors
2026,senior,4,0.21841859817504883,linkedin_li-4380364857,Harrison Clarke
2026,senior,5,0.22335168719291687,linkedin_li-4345215691,Form Energy
2026,senior,6,0.22891134023666382,linkedin_li-4397276664,Qualcomm
2026,senior,7,0.23015493154525757,linkedin_li-4391616436,Cadence
2026,senior,8,0.24662023782730103,linkedin_li-4232969064,MACOM
2026,senior,9,0.24837848544120789,linkedin_li-4366550188,"Liberty Personnel Services, Inc."
2026,senior,10,0.2565547227859497,linkedin_li-4394700561,ZapCom Group Inc
2026,senior,11,0.2755735516548157,linkedin_li-4389988659,NVIDIA
2026,senior,12,0.28522729873657227,linkedin_li-4365599651,Joby Aviation
2026,senior,13,0.2965143322944641,linkedin_li-4391208093,NetworkPedia
2026,senior,14,0.30170151591300964,linkedin_li-4140313613,Zoox
2026,senior,15,0.30681246519088745,linkedin_li-4399031500,"VMC Soft Technologies, Inc"
2026,senior,16,0.3068634867668152,linkedin_li-4378078351,Chewy
2026,senior,17,0.3099101185798645,linkedin_li-4397177062,SIRITECH SOLUTIONS CORP
2026,senior,18,0.3113393485546112,linkedin_li-4391900829,Intellectt Inc
2026,senior,19,0.31683480739593506,linkedin_li-4334107800,Latitude AI
2026,senior,20,0.32145193219184875,linkedin_li-4388599429,NVIDIA
